instance_id,instance_size,weak_evals,tight_evals,ratio
base1,2,82.0,72.0,1.1388888888888888
base2,2,9.0,9.0,1.0
base3,2,21.0,21.0,1.0
base4,3,30.0,21.0,1.4285714285714286
base5,3,5.0,5.0,1.0
base6,1,15.0,15.0,1.0
base7,11,2048.0,2048.0,1.0
fiveboxes1,5,3239.0,2909.0,1.1134410450326573
fiveboxes2,5,2810.0,2576.0,1.0908385093167703
fiveboxes3,5,18208.0,15999.0,1.1380711294455903
fourboxes1,4,441.0,441.0,1.0
fourboxes2,4,2452.0,2401.0,1.021241149521033
fourboxes3,4,4565.0,4348.0,1.0499080036798527
threeboxes1,3,325.0,315.0,1.0317460317460319
threeboxes2,3,605.0,602.0,1.004983388704319
threeboxes3,3,107.0,102.0,1.0490196078431373
twoboxes1,2,21.0,21.0,1.0
twoboxes2,2,55.0,55.0,1.0
twoboxes3,2,39.0,36.0,1.0833333333333333
test1,2,7.0,6.0,1.1666666666666667
test10,5,1619.0,415.0,3.9012048192771083
test2,4,11.0,6.0,1.8333333333333333
test3,4,10.0,10.0,1.0
test4,5,663.0,90.0,7.366666666666666
test5,6,240.0,66.0,3.6363636363636362
test6,6,4.0,4.0,1.0
test7,6,970.0,114.0,8.508771929824562
test8,3,4.0,4.0,1.0
test9,5,6.0,6.0,1.0
10-13_Sokoban-The-Bagatelle-collection-13,8,16225.0,15043.0,1.0785747523765206
10-4_Sokoban-The-Bagatelle-collection-4,6,84037.0,75597.0,1.1116446419831474
100-15_Sokoban-TBox-15,6,36806.0,31520.0,1.1677030456852793
100-24_Sokoban-TBox-24,6,71242.0,66753.0,1.0672479139514328
100-33_Sokoban-TBox-33,6,108332.0,102560.0,1.0562792511700467
100-42_Sokoban-TBox-42,5,1225.0,988.0,1.2398785425101215
100-5_Sokoban-TBox-5,6,164813.0,156006.0,1.0564529569375536
12-17_Sokoban-The-Cantrip-collection-17,7,44592.0,42216.0,1.0562819783968165
12-7_Sokoban-The-Cantrip-collection-7,6,30398.0,27703.0,1.0972818828285744
14-19_Sokoban-The-Maelstrom-collection-19,8,141364.0,137901.0,1.02511221818551
2-11_Sokoban-Boxxle-1-11,4,589.0,517.0,1.1392649903288201
2-21_Sokoban-Boxxle-1-21,7,4272.0,2094.0,2.0401146131805157
2-53_Sokoban-Boxxle-1-53,6,30253.0,13377.0,2.26156836360918
2-7_Sokoban-Boxxle-1-7,5,2667.0,1415.0,1.8848056537102473
22-12_Sokoban-Sasquatch-VIII-12,5,5002.0,4607.0,1.0857390926850445
24-8_Sokoban-Sasquatch-X-8,5,14826.0,10829.0,1.3691014867485456
25-108_Sokoban-Microban-108,4,37862.0,37749.0,1.002993456780312
25-117_Sokoban-Microban-117,5,116663.0,101030.0,1.1547362169652577
25-126_Sokoban-Microban-126,7,81640.0,37818.0,2.158760378655667
25-135_Sokoban-Microban-135,4,3137.0,2833.0,1.1073067419696434
25-21_Sokoban-Microban-21,2,11.0,11.0,1.0
25-30_Sokoban-Microban-30,3,20.0,16.0,1.25
25-3_Sokoban-Microban-3,2,62.0,58.0,1.0689655172413792
25-49_Sokoban-Microban-49,3,181.0,169.0,1.0710059171597632
25-58_Sokoban-Microban-58,3,40.0,29.0,1.3793103448275863
25-67_Sokoban-Microban-67,3,29.0,28.0,1.0357142857142858
25-76_Sokoban-Microban-76,3,2020.0,2019.0,1.0004952947003467
25-85_Sokoban-Microban-85,3,5162.0,4906.0,1.0521810028536487
25-94_Sokoban-Microban-94,3,468.0,466.0,1.0042918454935623
26-103_Sokoban-Microban-II-103,4,86191.0,85603.0,1.006868918145392
26-112_Sokoban-Microban-II-112,8,9118.0,5864.0,1.554911323328786
26-132_Sokoban-Microban-II-132,1,115.0,115.0,1.0
26-19_Sokoban-Microban-II-19,3,104.0,99.0,1.0505050505050506
26-28_Sokoban-Microban-II-28,3,177.0,152.0,1.1644736842105263
26-37_Sokoban-Microban-II-37,3,316.0,292.0,1.082191780821918
26-46_Sokoban-Microban-II-46,3,2387.0,2362.0,1.010584250635055
26-55_Sokoban-Microban-II-55,3,3004.0,2998.0,1.0020013342228151
26-64_Sokoban-Microban-II-64,4,1159.0,1032.0,1.123062015503876
26-82_Sokoban-Microban-II-82,5,5303.0,4364.0,1.2151695692025664
26-91_Sokoban-Microban-II-91,4,16707.0,15665.0,1.0665177146504947
27-18_Sokoban-Microban-III-18,6,8649.0,3899.0,2.218261092587843
27-27_Sokoban-Microban-III-27,4,24389.0,24101.0,1.0119497116302227
27-45_Sokoban-Microban-III-45,4,5113.0,4607.0,1.1098328630345127
28-11_Sokoban-Microban-IV-11,8,11357.0,6221.0,1.8255907410384182
28-20_Sokoban-Microban-IV-20,6,2972.0,2217.0,1.340550293188994
28-6_Sokoban-Microban-IV-6,3,220.0,206.0,1.0679611650485437
29-16_Sokoban-Yoshio-Murase's-HandMade-16,4,241.0,228.0,1.0570175438596492
29-25_Sokoban-Yoshio-Murase's-HandMade-25,7,4400.0,4275.0,1.0292397660818713
29-52_Sokoban-Yoshio-Murase's-HandMade-52,5,898.0,890.0,1.0089887640449438
3-28_Sokoban-Boxxle-2-28,8,19494.0,5899.0,3.3046279030344126
3-3_Sokoban-Boxxle-2-3,5,2634.0,1171.0,2.2493595217762596
3-7_Sokoban-Boxxle-2-7,11,98382.0,10645.0,9.24208548614373
30-18_Sokoban-Yoshio-Murase's-Auto-18,3,119.0,116.0,1.0258620689655173
30-27_Sokoban-Yoshio-Murase's-Auto-27,3,67.0,56.0,1.1964285714285714
30-36_Sokoban-Yoshio-Murase's-Auto-36,3,281.0,271.0,1.03690036900369
30-45_Sokoban-Yoshio-Murase's-Auto-45,3,210.0,199.0,1.0552763819095476
30-6_Sokoban-Yoshio-Murase's-Auto-6,3,148.0,147.0,1.0068027210884354
31-16_Sokoban-Alberto-Garcia-16,2,12.0,12.0,1.0
31-25_Sokoban-Alberto-Garcia-25,5,3932.0,450.0,8.737777777777778
31-7_Sokoban-Alberto-Garcia-7,4,720.0,672.0,1.0714285714285714
32-4_Sokoban-Alberto-Garcia-2-4,3,7075.0,7041.0,1.0048288595369976
33-13_Sokoban-Alberto-Garcia-3-13,4,58839.0,54287.0,1.0838506456426031
33-22_Sokoban-Alberto-Garcia-3-22,4,25454.0,24240.0,1.0500825082508252
34-14_Sokoban-Alberto-Garcia-4-14,4,3931.0,3821.0,1.0287882753205968
34-23_Sokoban-Alberto-Garcia-4-23,2,47.0,46.0,1.0217391304347827
34-32_Sokoban-Alberto-Garcia-4-32,3,25.0,20.0,1.25
34-41_Sokoban-Alberto-Garcia-4-41,4,90.0,65.0,1.3846153846153846
34-50_Sokoban-Alberto-Garcia-4-50,4,74.0,61.0,1.2131147540983607
35-4_Sokoban-Aruba1-4,10,4624.0,2304.0,2.0069444444444446
37-13_Sokoban-Aruba3-13,5,258.0,147.0,1.7551020408163265
39-20_Sokoban-Aruba5-20,8,30253.0,2564.0,11.799141965678627
39-41_Sokoban-Aruba5-41,5,46123.0,37009.0,1.246264422167581
4-17_Sokoban-Mini-Cosmos-17,2,34.0,29.0,1.1724137931034482
4-26_Sokoban-Mini-Cosmos-26,3,457.0,433.0,1.0554272517321017
4-35_Sokoban-Mini-Cosmos-35,3,56.0,55.0,1.018181818181818
