run_id,domain,instance_id,instance_size,grid_cells,algorithm,weight_w,base_h,seed,candidate_states_evaluated,nodes_expanded,candidates_scored,solved,cutoff_reason,solution_quality,quality_target,wall_clock_ms,peak_frontier,git_sha
8a462536-1fc7-45ae-becb-77d857ada239,hp_lattice,seq0,9,NA,bnb,NA,parity,NA,120,120,132,1,NA,2,NA,0.3273859911132604,9,NA
bf8b4d90-f1d4-4bc5-ac48-8f8f98879c56,hp_lattice,1L2Y_1_Chain_A_TC5b_null,20,NA,bnb,NA,parity,NA,4991119,4991119,5000000,cutoff,budget,8,NA,23732.589235005435,20,NA
b5e31dd0-fb56-44b5-9851-1d13daa1201f,hp_lattice,4INS_2_Chains_B_D_INSULIN_CHAIN_B_Sus_scrofa_9823_,30,NA,bnb,NA,parity,NA,5000000,5000000,5000000,cutoff,budget,9,NA,79634.59486000647,30,NA
69fcd435-dc69-4bf5-8c94-af664a1a3f92,hp_lattice,4INS_1_Chains_A_C_INSULIN_CHAIN_A_Sus_scrofa_9823_,21,NA,bnb,NA,parity,NA,4996993,4996993,5000000,cutoff,budget,7,NA,23105.520946002798,21,NA
b98cd6cc-d071-4f8a-aa66-c74fea9b0504,hp_lattice,1VII_1_Chain_A_VILLIN_Gallus_gallus_9031_,36,NA,bnb,NA,parity,NA,5000000,5000000,5000000,cutoff,budget,6,NA,28579.946526006097,36,NA
dd029dcb-8eee-4201-aaab-28300872af1e,hp_lattice,1CRN_1_Chain_A_CRAMBIN_Crambe_hispanica_subsp._abyssinica_37,46,NA,bnb,NA,parity,NA,5000000,5000000,5000000,cutoff,budget,9,NA,33948.42540600803,46,NA
3ea38255-649a-41fa-b5a2-f5d30d3df1c4,sokoban,base1,2,25,wastar,1.0,manhattan,NA,82,82,326,1,NA,9,NA,8.55471300019417,82,NA
ae17bcac-2b01-4b41-bb4e-2f0fbcd94e8e,sokoban,base2,2,29,wastar,1.0,manhattan,NA,9,9,48,1,NA,4,NA,1.5236549952533096,24,NA
f2290728-2d65-4a9e-8ae4-141a621606d4,sokoban,base3,2,59,wastar,1.0,manhattan,NA,21,21,114,1,NA,7,NA,6.530004000524059,57,NA
cf231be3-73f2-4ed5-9d26-d9c2d9edc77f,sokoban,base4,3,59,wastar,1.0,manhattan,NA,30,30,272,1,NA,7,NA,12.948553994647227,185,NA
ea9b7dc4-d07f-4ebc-b7a3-8c7346bfce8e,sokoban,base5,3,15,wastar,1.0,manhattan,NA,5,5,12,1,NA,3,NA,0.22861300385557115,10,NA
62064887-9b9f-4b8e-8ea1-cfe58e92387d,sokoban,base6,1,47,wastar,1.0,manhattan,NA,15,15,29,1,NA,12,NA,2.2160520020406693,17,NA
00f06633-3b16-4255-b1d7-2145a2cbaf5d,sokoban,base7,11,36,wastar,1.0,manhattan,NA,2048,2048,19966,1,NA,11,NA,761.5111430059187,7679,NA
0b4339cf-8f6f-4f31-85d6-d5643369c10c,sokoban,fiveboxes1,5,35,wastar,1.0,manhattan,NA,3239,3239,12506,1,NA,35,NA,396.62468299502507,3567,NA
a3d75f85-e31c-4160-b018-f747da62f155,sokoban,fiveboxes2,5,42,wastar,1.0,manhattan,NA,2810,2810,13603,1,NA,36,NA,406.48504099226557,3094,NA
be7aef55-fba5-4d80-8875-054029119fb9,sokoban,fiveboxes3,5,53,wastar,1.0,manhattan,NA,18208,18208,99102,1,NA,71,NA,3035.1152939983876,18675,NA
50a8ce0f-8b06-4e89-b510-ee32c2949e81,sokoban,fourboxes1,4,18,wastar,1.0,manhattan,NA,441,441,1322,1,NA,24,NA,31.92304699041415,441,NA
c0ebbd4e-6252-48ce-85c3-11bac76650d7,sokoban,fourboxes2,4,33,wastar,1.0,manhattan,NA,2452,2452,10173,1,NA,56,NA,272.83186800195836,2476,NA
d1dd443f-1d56-4b39-9111-894476fcd470,sokoban,fourboxes3,4,48,wastar,1.0,manhattan,NA,4565,4565,15381,1,NA,75,NA,486.9893309951294,4597,NA
b6f8b724-bc01-42ae-9406-3a5074ee8697,sokoban,threeboxes1,3,32,wastar,1.0,manhattan,NA,325,325,1134,1,NA,22,NA,28.65235198987648,335,NA
2472bc1e-fa78-4153-a304-c556f5d8dc25,sokoban,threeboxes2,3,29,wastar,1.0,manhattan,NA,605,605,1918,1,NA,51,NA,55.89453400170896,607,NA
5d8860cd-74bc-4f21-8344-2ce59a7309dd,sokoban,threeboxes3,3,22,wastar,1.0,manhattan,NA,107,107,368,1,NA,18,NA,11.755462997825816,120,NA
d8ccfdc5-22e3-4b4f-9f01-ea51199ab789,sokoban,twoboxes1,2,16,wastar,1.0,manhattan,NA,21,21,78,1,NA,9,NA,1.2529289961094037,22,NA
f3476b5a-45a6-47c9-b35c-2ad93a9cc23a,sokoban,twoboxes2,2,21,wastar,1.0,manhattan,NA,55,55,137,1,NA,18,NA,3.7218440120341256,56,NA
f248de08-216e-40b6-b878-43d0e1104f07,sokoban,twoboxes3,2,24,wastar,1.0,manhattan,NA,39,39,137,1,NA,18,NA,3.3967360068345442,40,NA
fe17eafa-d90d-4d2d-b689-9da5d83a3171,sokoban,base1,2,25,wastar,1.0,manhattan,NA,82,82,326,1,NA,9,NA,8.554271000321023,82,NA
80c1e6ab-eb3e-449f-a6ec-e236ad49a4d1,sokoban,base2,2,29,wastar,1.0,manhattan,NA,9,9,48,1,NA,4,NA,1.5191759885055944,24,NA
55b8b964-7520-4dee-8e4c-9112a9745919,sokoban,base3,2,59,wastar,1.0,manhattan,NA,21,21,114,1,NA,7,NA,7.713412007433362,57,NA
04410291-6d93-4601-ae6d-8f8b61c16fa9,sokoban,base4,3,59,wastar,1.0,manhattan,NA,30,30,272,1,NA,7,NA,16.562605000217445,185,NA
579d1d07-dd2b-4716-9025-909f918b8fd8,sokoban,base5,3,15,wastar,1.0,manhattan,NA,5,5,12,1,NA,3,NA,0.24679600028321147,10,NA
6017834e-4f95-42bf-afa5-60b1cab9e20d,sokoban,base6,1,47,wastar,1.0,manhattan,NA,15,15,29,1,NA,12,NA,1.752326003042981,17,NA
751f9dea-40be-49bd-b16d-f661bbac4caa,sokoban,base7,11,36,wastar,1.0,manhattan,NA,2048,2048,19966,1,NA,11,NA,769.3455400003586,7679,NA
f1a8ed71-7d62-4055-9b5f-26d4781cf6da,sokoban,fiveboxes1,5,35,wastar,1.0,manhattan,NA,3239,3239,12506,1,NA,35,NA,366.16314700222574,3567,NA
0d9fc9c8-29c1-4e87-aa90-13b9c6bd446f,sokoban,fiveboxes2,5,42,wastar,1.0,manhattan,NA,2810,2810,13603,1,NA,36,NA,381.34457799606025,3094,NA
4edaccf2-9f43-456f-9e24-47c0cda287fa,sokoban,fiveboxes3,5,53,wastar,1.0,manhattan,NA,18208,18208,99102,1,NA,71,NA,3147.9299329948844,18675,NA
fee42470-a202-4b2e-b2e2-1e1346358943,sokoban,fourboxes1,4,18,wastar,1.0,manhattan,NA,441,441,1322,1,NA,24,NA,32.258046994684264,441,NA
af46769c-2709-4526-a571-d0825b612262,sokoban,fourboxes2,4,33,wastar,1.0,manhattan,NA,2452,2452,10173,1,NA,56,NA,270.45273399562575,2476,NA
54b00f80-afd2-460a-a03b-2d31bac0a9c8,sokoban,fourboxes3,4,48,wastar,1.0,manhattan,NA,4565,4565,15381,1,NA,75,NA,505.4977429972496,4597,NA
130349ed-53f5-4817-b08e-f853e8e85469,sokoban,original1,6,139,wastar,1.0,manhattan,NA,184251,184251,1000000,cutoff,budget,NA,NA,49630.62080400414,256755,NA
