node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((3, 5), (4, 2), (4, 3), (5, 4), (7, 4)), (1, 1))","(((3, 4), (4, 2), (4, 3), (5, 4), (7, 4)), (1, 1))",1,15,16.0,1,,,pruned,,,0
"(((3, 4), (4, 3), (5, 2), (5, 4), (7, 4)), (1, 1))","(((3, 4), (4, 2), (4, 3), (5, 4), (7, 4)), (1, 1))",1,14,15.0,1,,,pruned,,,1
"(((3, 4), (4, 2), (4, 3), (5, 4), (7, 4)), (1, 1))",,0,14.0,14.0,0,6,2,expanded,False,True,2
"(((3, 5), (4, 2), (4, 3), (5, 4), (6, 4)), (1, 1))","(((3, 4), (4, 2), (4, 3), (5, 4), (6, 4)), (1, 1))",2,14,16.0,2,,,pruned,,,3
"(((3, 4), (4, 3), (5, 2), (5, 4), (6, 4)), (1, 1))","(((3, 4), (4, 2), (4, 3), (5, 4), (6, 4)), (1, 1))",2,13,15.0,2,,,pruned,,,4
"(((3, 4), (4, 2), (4, 3), (5, 4), (6, 4)), (1, 1))","(((3, 4), (4, 2), (4, 3), (5, 4), (7, 4)), (1, 1))",1,13.0,14.0,1,3,2,expanded,False,True,5
"(((3, 4), (4, 2), (4, 3), (5, 4), (7, 3)), (6, 4))","(((3, 4), (4, 2), (4, 3), (5, 4), (7, 4)), (1, 1))",1,13.0,14.0,1,2,0,expanded,False,True,6
"(((3, 4), (4, 2), (4, 3), (5, 4), (7, 1)), (6, 4))","(((3, 4), (4, 2), (4, 3), (5, 4), (7, 2)), (6, 4))",3,11,14.0,3,,,pruned,,,7
"(((3, 4), (4, 2), (4, 3), (5, 4), (7, 2)), (6, 4))","(((3, 4), (4, 2), (4, 3), (5, 4), (7, 3)), (6, 4))",2,12.0,14.0,2,2,1,expanded,False,True,8
"(((3, 2), (3, 4), (4, 3), (5, 4), (7, 4)), (1, 1))","(((3, 4), (4, 2), (4, 3), (5, 4), (7, 4)), (1, 1))",1,14.0,15.0,1,5,0,expanded,False,True,9
"(((3, 2), (3, 4), (4, 3), (5, 4), (6, 4)), (1, 1))","(((3, 4), (4, 2), (4, 3), (5, 4), (6, 4)), (1, 1))",2,13.0,15.0,2,2,0,expanded,False,True,10
"(((3, 4), (4, 2), (4, 3), (4, 4), (7, 3)), (3, 5))","(((3, 4), (4, 2), (4, 3), (5, 4), (7, 3)), (6, 4))",2,13.0,15.0,2,2,0,expanded,False,True,11
"(((3, 2), (3, 4), (4, 3), (5, 4), (7, 3)), (6, 4))","(((3, 2), (3, 4), (4, 3), (5, 4), (7, 4)), (1, 1))",2,13.0,15.0,2,2,0,expanded,False,True,12
"(((3, 4), (4, 2), (4, 3), (4, 4), (7, 1)), (3, 5))","(((3, 4), (4, 2), (4, 3), (4, 4), (7, 2)), (3, 5))",4,11,15.0,4,,,pruned,,,13
