node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((2, 4), (3, 3)), (1, 1))","(((2, 3), (3, 3)), (1, 1))",1,4,5.0,1,,,pruned,,,0
"(((2, 3), (3, 4)), (1, 1))","(((2, 3), (3, 3)), (1, 1))",1,4,5.0,1,,,pruned,,,1
"(((2, 3), (3, 3)), (1, 1))",,0,3.0,3.0,0,4,2,expanded,False,True,2
"(((2, 2), (3, 4)), (1, 1))","(((2, 2), (3, 3)), (1, 1))",2,3,5.0,2,,,pruned,,,3
"(((1, 2), (3, 3)), (1, 1))","(((2, 2), (3, 3)), (1, 1))",2,3,5.0,2,,,pruned,,,4
"(((2, 1), (3, 3)), (1, 1))","(((2, 2), (3, 3)), (1, 1))",2,3,5.0,2,,,pruned,,,5
"(((2, 2), (3, 3)), (1, 1))","(((2, 3), (3, 3)), (1, 1))",1,2.0,3.0,1,6,3,expanded,False,True,6
"(((1, 3), (3, 2)), (1, 1))","(((2, 3), (3, 2)), (2, 4))",2,3,5.0,2,,,pruned,,,7
"(((2, 3), (3, 2)), (2, 4))","(((2, 3), (3, 3)), (1, 1))",1,2.0,3.0,1,3,1,expanded,False,True,8
"(((2, 1), (3, 2)), (1, 1))","(((2, 2), (3, 2)), (1, 1))",3,2,5.0,3,,,pruned,,,9
"(((2, 2), (3, 2)), (1, 1))","(((2, 2), (3, 3)), (1, 1))",2,1.0,3.0,2,2,1,expanded,False,True,10
"(((1, 3), (2, 2)), (2, 3))","(((2, 2), (2, 3)), (2, 4))",3,2,5.0,3,,,pruned,,,11
"(((1, 2), (2, 3)), (1, 1))","(((2, 2), (2, 3)), (2, 4))",3,2,5.0,3,,,pruned,,,12
"(((2, 2), (2, 3)), (2, 4))","(((2, 3), (3, 2)), (2, 4))",2,1.0,3.0,2,2,2,expanded,True,True,13
"(((3, 2), (3, 3)), (1, 1))","(((2, 2), (3, 3)), (1, 1))",2,3.0,5.0,2,2,0,expanded,False,True,14
"(((2, 4), (3, 2)), (1, 1))","(((2, 3), (3, 2)), (1, 1))",4,3,7.0,4,,,pruned,,,15
"(((2, 3), (3, 2)), (1, 1))","(((2, 2), (3, 2)), (1, 1))",3,2.0,5.0,3,3,1,expanded,False,True,16
"(((3, 4), (4, 2)), (1, 1))","(((3, 3), (4, 2)), (1, 1))",4,3,7.0,4,,,pruned,,,17
"(((3, 3), (5, 2)), (1, 1))","(((3, 3), (4, 2)), (1, 1))",4,3,7.0,4,,,pruned,,,18
"(((3, 3), (4, 2)), (1, 1))","(((3, 2), (3, 3)), (1, 1))",3,2.0,5.0,3,4,2,expanded,False,True,19
"(((1, 3), (4, 2)), (1, 1))","(((2, 3), (4, 2)), (1, 1))",5,2,7.0,5,,,pruned,,,20
"(((2, 4), (4, 2)), (1, 1))","(((2, 3), (4, 2)), (1, 1))",5,2,7.0,5,,,pruned,,,21
"(((2, 3), (5, 2)), (1, 1))","(((2, 3), (4, 2)), (1, 1))",5,2,7.0,5,,,pruned,,,22
"(((2, 3), (4, 2)), (1, 1))","(((2, 3), (3, 2)), (1, 1))",4,1.0,5.0,4,6,3,expanded,False,True,23
"(((3, 2), (4, 2)), (1, 1))","(((3, 3), (4, 2)), (1, 1))",4,1.0,5.0,4,0,0,expanded,False,True,24
"(((2, 2), (4, 2)), (1, 1))","(((2, 3), (4, 2)), (1, 1))",5,0.0,5.0,5,0,0,goal,False,False,25
