node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((2, 5), (3, 4), (4, 3), (5, 2)), (6, 2))",,0,6.0,6.0,0,1,0,expanded,False,True,0
"(((2, 5), (3, 2), (3, 4), (4, 3)), (4, 1))","(((2, 5), (3, 4), (4, 2), (4, 3)), (4, 1))",2,8,10.0,2,,,pruned,,,1
"(((2, 5), (3, 4), (4, 2), (4, 3)), (4, 1))","(((2, 5), (3, 4), (4, 3), (5, 2)), (6, 2))",1,7.0,8.0,1,2,1,expanded,False,True,2
"(((2, 3), (2, 5), (3, 4), (4, 2)), (3, 2))","(((2, 5), (3, 3), (3, 4), (4, 2)), (4, 1))",3,8,11.0,3,,,pruned,,,3
"(((2, 5), (3, 2), (3, 3), (3, 4)), (4, 1))","(((2, 5), (3, 3), (3, 4), (4, 2)), (4, 1))",3,9,12.0,3,,,pruned,,,4
"(((2, 5), (3, 3), (3, 4), (4, 1)), (3, 2))","(((2, 5), (3, 3), (3, 4), (4, 2)), (4, 1))",3,7,10.0,3,,,pruned,,,5
"(((2, 5), (3, 3), (3, 4), (4, 2)), (4, 1))","(((2, 5), (3, 4), (4, 2), (4, 3)), (4, 1))",2,8.0,10.0,2,5,3,expanded,False,True,6
"(((2, 3), (2, 4), (2, 5), (4, 2)), (3, 2))","(((2, 4), (2, 5), (3, 3), (4, 2)), (3, 4))",4,7,11.0,4,,,pruned,,,7
"(((2, 4), (2, 5), (3, 2), (4, 2)), (2, 3))","(((2, 4), (2, 5), (3, 3), (4, 2)), (3, 4))",4,8,12.0,4,,,pruned,,,8
"(((2, 4), (2, 5), (3, 2), (3, 3)), (3, 4))","(((2, 4), (2, 5), (3, 3), (4, 2)), (3, 4))",4,8,12.0,4,,,pruned,,,9
"(((2, 4), (2, 5), (3, 3), (4, 1)), (3, 2))","(((2, 4), (2, 5), (3, 3), (4, 2)), (3, 4))",4,6,10.0,4,,,pruned,,,10
"(((2, 4), (2, 5), (3, 3), (4, 2)), (3, 4))","(((2, 5), (3, 3), (3, 4), (4, 2)), (4, 1))",3,7.0,10.0,3,7,4,expanded,False,True,11
"(((2, 5), (3, 3), (3, 4), (4, 4)), (3, 2))","(((2, 5), (3, 3), (3, 4), (4, 3)), (3, 2))",4,8,12.0,4,,,pruned,,,12
"(((2, 5), (3, 3), (3, 4), (4, 3)), (3, 2))","(((2, 5), (3, 3), (3, 4), (4, 2)), (4, 1))",3,7.0,10.0,3,1,1,expanded,True,True,13
"(((1, 4), (2, 3), (2, 5), (4, 2)), (2, 4))","(((1, 4), (2, 5), (3, 3), (4, 2)), (2, 3))",5,6,11.0,5,,,pruned,,,14
"(((1, 4), (2, 5), (3, 2), (4, 2)), (2, 3))","(((1, 4), (2, 5), (3, 3), (4, 2)), (2, 3))",5,7,12.0,5,,,pruned,,,15
