node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((1, 5), (4, 2), (4, 5), (5, 4), (6, 4)), (1, 1))","(((2, 5), (4, 2), (4, 5), (5, 4), (6, 4)), (1, 1))",1,7,8.0,1,,,pruned,,,0
"(((2, 5), (4, 1), (4, 5), (5, 4), (6, 4)), (1, 1))","(((2, 5), (4, 2), (4, 5), (5, 4), (6, 4)), (1, 1))",1,7,8.0,1,,,pruned,,,1
"(((2, 5), (4, 2), (4, 5), (5, 4), (6, 4)), (1, 1))",,0,6.0,6.0,0,8,2,expanded,False,True,2
"(((2, 5), (3, 5), (4, 1), (5, 4), (6, 4)), (1, 1))","(((2, 5), (3, 5), (4, 2), (5, 4), (6, 4)), (1, 1))",2,6,8.0,2,,,pruned,,,3
"(((2, 5), (3, 5), (4, 2), (5, 4), (6, 4)), (1, 1))","(((2, 5), (4, 2), (4, 5), (5, 4), (6, 4)), (1, 1))",1,5.0,6.0,1,4,1,expanded,False,True,4
"(((2, 5), (4, 2), (4, 5), (6, 3), (6, 4)), (1, 1))","(((2, 5), (4, 2), (4, 5), (5, 3), (6, 4)), (1, 1))",2,6,8.0,2,,,pruned,,,5
"(((1, 5), (4, 2), (4, 5), (5, 3), (6, 4)), (1, 1))","(((2, 5), (4, 2), (4, 5), (5, 3), (6, 4)), (1, 1))",2,6,8.0,2,,,pruned,,,6
"(((2, 5), (4, 1), (4, 5), (5, 3), (6, 4)), (1, 1))","(((2, 5), (4, 2), (4, 5), (5, 3), (6, 4)), (1, 1))",2,6,8.0,2,,,pruned,,,7
"(((2, 5), (4, 2), (4, 5), (5, 3), (6, 4)), (1, 1))","(((2, 5), (4, 2), (4, 5), (5, 4), (6, 4)), (1, 1))",1,5.0,6.0,1,9,3,expanded,False,True,8
"(((3, 5), (4, 1), (4, 5), (5, 4), (6, 4)), (1, 1))","(((3, 5), (4, 2), (4, 5), (5, 4), (6, 4)), (1, 1))",2,6,8.0,2,,,pruned,,,9
"(((3, 5), (4, 2), (4, 5), (5, 4), (6, 4)), (1, 1))","(((2, 5), (4, 2), (4, 5), (5, 4), (6, 4)), (1, 1))",1,5.0,6.0,1,4,1,expanded,False,True,10
"(((1, 5), (4, 3), (4, 5), (5, 4), (6, 4)), (1, 1))","(((2, 5), (4, 3), (4, 5), (5, 4), (6, 4)), (1, 1))",2,6,8.0,2,,,pruned,,,11
"(((2, 5), (4, 3), (4, 5), (5, 4), (6, 4)), (1, 1))","(((2, 5), (4, 2), (4, 5), (5, 4), (6, 4)), (1, 1))",1,5.0,6.0,1,6,1,expanded,False,True,12
"(((2, 5), (3, 5), (4, 2), (6, 3), (6, 4)), (1, 1))","(((2, 5), (3, 5), (4, 2), (5, 3), (6, 4)), (1, 1))",3,5,8.0,3,,,pruned,,,13
"(((2, 5), (3, 5), (4, 1), (5, 3), (6, 4)), (1, 1))","(((2, 5), (3, 5), (4, 2), (5, 3), (6, 4)), (1, 1))",3,5,8.0,3,,,pruned,,,14
"(((2, 5), (3, 5), (4, 2), (5, 3), (6, 4)), (1, 1))","(((2, 5), (3, 5), (4, 2), (5, 4), (6, 4)), (1, 1))",2,4.0,6.0,2,5,2,expanded,False,True,15
"(((2, 5), (3, 5), (4, 3), (5, 4), (6, 4)), (1, 1))","(((2, 5), (3, 5), (4, 2), (5, 4), (6, 4)), (1, 1))",2,4.0,6.0,2,2,0,expanded,False,True,16
"(((3, 5), (4, 2), (4, 5), (6, 3), (6, 4)), (1, 1))","(((3, 5), (4, 2), (4, 5), (5, 3), (6, 4)), (1, 1))",3,5,8.0,3,,,pruned,,,17
"(((3, 5), (4, 1), (4, 5), (5, 3), (6, 4)), (1, 1))","(((3, 5), (4, 2), (4, 5), (5, 3), (6, 4)), (1, 1))",3,5,8.0,3,,,pruned,,,18
"(((3, 5), (4, 2), (4, 5), (5, 3), (6, 4)), (1, 1))","(((2, 5), (4, 2), (4, 5), (5, 3), (6, 4)), (1, 1))",2,4.0,6.0,2,5,2,expanded,False,True,19
