node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((4, 3), (4, 8), (5, 1), (5, 4), (6, 3)), (5, 2))","(((4, 3), (4, 8), (5, 2), (5, 4), (6, 3)), (5, 3))",1,9,10.0,1,,,pruned,,,0
"(((4, 3), (4, 8), (5, 2), (5, 4), (6, 3)), (5, 3))",,0,8.0,8.0,0,4,1,expanded,False,True,1
"(((4, 3), (4, 9), (5, 2), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",2,8,10.0,2,,,pruned,,,2
"(((4, 3), (4, 8), (5, 1), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",2,8,10.0,2,,,pruned,,,3
"(((4, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 4), (6, 3)), (5, 3))",1,7.0,8.0,1,10,2,expanded,False,True,4
"(((4, 3), (4, 7), (5, 1), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 7), (5, 2), (5, 5), (6, 3)), (1, 1))",3,7,10.0,3,,,pruned,,,5
"(((4, 3), (4, 7), (5, 2), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",2,6.0,8.0,2,12,1,expanded,False,True,6
"(((4, 3), (4, 9), (5, 3), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 3), (5, 5), (6, 3)), (1, 1))",3,7,10.0,3,,,pruned,,,7
"(((4, 3), (4, 8), (5, 3), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 2), (5, 5), (6, 3)), (1, 1))",2,6.0,8.0,2,6,1,expanded,False,True,8
"(((4, 3), (4, 6), (5, 1), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 6), (5, 2), (5, 5), (6, 3)), (1, 1))",4,6,10.0,4,,,pruned,,,9
"(((4, 3), (4, 6), (5, 2), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 7), (5, 2), (5, 5), (6, 3)), (1, 1))",3,5.0,8.0,3,10,1,expanded,False,True,10
"(((4, 3), (4, 7), (5, 3), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 7), (5, 2), (5, 5), (6, 3)), (1, 1))",3,5.0,8.0,3,8,0,expanded,False,True,11
"(((4, 3), (4, 9), (5, 4), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 4), (5, 5), (6, 3)), (1, 1))",4,6,10.0,4,,,pruned,,,12
"(((4, 3), (4, 8), (5, 4), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 3), (5, 5), (6, 3)), (1, 1))",3,5.0,8.0,3,8,1,expanded,False,True,13
"(((4, 3), (4, 6), (5, 3), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 6), (5, 2), (5, 5), (6, 3)), (1, 1))",4,4.0,8.0,4,6,0,expanded,False,True,14
"(((4, 3), (4, 7), (5, 4), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 7), (5, 3), (5, 5), (6, 3)), (1, 1))",4,4.0,8.0,4,10,0,expanded,False,True,15
"(((4, 3), (4, 9), (5, 5), (6, 3), (6, 4)), (1, 1))","(((4, 3), (4, 8), (5, 5), (6, 3), (6, 4)), (1, 1))",5,5,10.0,5,,,pruned,,,16
"(((4, 3), (4, 8), (5, 5), (6, 3), (6, 4)), (1, 1))","(((4, 3), (4, 8), (5, 4), (5, 5), (6, 3)), (1, 1))",4,4.0,8.0,4,10,1,expanded,False,True,17
"(((4, 3), (4, 4), (4, 9), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 4), (4, 8), (5, 5), (6, 3)), (1, 1))",5,5,10.0,5,,,pruned,,,18
"(((4, 3), (4, 4), (4, 8), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 8), (5, 4), (5, 5), (6, 3)), (1, 1))",4,4.0,8.0,4,10,1,expanded,False,True,19
"(((4, 3), (4, 6), (5, 4), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 6), (5, 3), (5, 5), (6, 3)), (1, 1))",5,3.0,8.0,5,8,0,expanded,False,True,20
"(((4, 3), (4, 7), (5, 5), (6, 3), (6, 4)), (1, 1))","(((4, 3), (4, 7), (5, 4), (5, 5), (6, 3)), (1, 1))",5,3.0,8.0,5,12,0,expanded,False,True,21
"(((4, 3), (4, 4), (4, 7), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 7), (5, 4), (5, 5), (6, 3)), (1, 1))",5,3.0,8.0,5,12,0,expanded,False,True,22
"(((4, 3), (4, 6), (5, 5), (6, 3), (6, 4)), (1, 1))","(((4, 3), (4, 6), (5, 4), (5, 5), (6, 3)), (1, 1))",6,2.0,8.0,6,10,0,expanded,False,True,23
"(((4, 3), (4, 4), (4, 6), (5, 5), (6, 3)), (1, 1))","(((4, 3), (4, 6), (5, 4), (5, 5), (6, 3)), (1, 1))",6,2.0,8.0,6,10,0,expanded,False,True,24
"(((3, 3), (4, 9), (5, 2), (5, 4), (6, 3)), (1, 1))","(((3, 3), (4, 8), (5, 2), (5, 4), (6, 3)), (1, 1))",2,10,12.0,2,,,pruned,,,25
