node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((4, 13),), (1, 4))",,0,25.0,25.0,0,1,0,expanded,False,True,0
"(((3, 13),), (1, 4))","(((4, 13),), (1, 4))",1,26.0,27.0,1,1,0,expanded,False,True,1
"(((1, 13),), (1, 4))","(((2, 13),), (1, 4))",3,28,31.0,3,,,pruned,,,2
"(((2, 13),), (1, 4))","(((3, 13),), (1, 4))",2,27.0,29.0,2,2,1,expanded,False,True,3
"(((3, 13),), (1, 13))","(((2, 13),), (1, 4))",3,26.0,29.0,3,1,0,expanded,False,True,4
"(((4, 13),), (1, 13))","(((3, 13),), (1, 13))",4,25.0,29.0,4,1,0,expanded,False,True,5
"(((5, 13),), (1, 13))","(((4, 13),), (1, 13))",5,24.0,29.0,5,1,0,expanded,False,True,6
"(((7, 13),), (1, 4))","(((6, 13),), (1, 4))",7,22,29.0,7,,,pruned,,,7
"(((6, 13),), (1, 4))","(((5, 13),), (1, 13))",6,23.0,29.0,6,2,1,expanded,False,True,8
"(((5, 14),), (1, 4))","(((5, 13),), (1, 4))",8,25,33.0,8,,,pruned,,,9
"(((5, 13),), (1, 4))","(((6, 13),), (1, 4))",7,24.0,31.0,7,3,1,expanded,False,True,10
"(((5, 12),), (1, 4))","(((5, 13),), (1, 4))",8,23.0,31.0,8,2,0,expanded,False,True,11
"(((5, 11),), (1, 4))","(((5, 12),), (1, 4))",9,22.0,31.0,9,2,0,expanded,False,True,12
"(((5, 10),), (1, 4))","(((5, 11),), (1, 4))",10,21.0,31.0,10,2,0,expanded,False,True,13
"(((5, 9),), (1, 4))","(((5, 10),), (1, 4))",11,20.0,31.0,11,4,0,expanded,False,True,14
"(((6, 9),), (1, 4))","(((5, 9),), (1, 4))",12,19.0,31.0,12,2,0,expanded,False,True,15
"(((4, 8),), (1, 4))","(((5, 8),), (1, 4))",13,20,33.0,13,,,pruned,,,16
"(((5, 8),), (1, 4))","(((5, 9),), (1, 4))",12,19.0,31.0,12,2,1,expanded,False,True,17
"(((7, 9),), (1, 4))","(((6, 9),), (1, 4))",13,18.0,31.0,13,2,0,expanded,False,True,18
"(((6, 7),), (1, 4))","(((6, 8),), (1, 4))",14,17,31.0,14,,,pruned,,,19
"(((6, 8),), (1, 4))","(((5, 8),), (1, 4))",13,18.0,31.0,13,2,1,expanded,False,True,20
"(((8, 9),), (1, 4))","(((7, 9),), (1, 4))",14,17.0,31.0,14,2,0,expanded,False,True,21
"(((10, 9),), (1, 4))","(((9, 9),), (1, 4))",16,15,31.0,16,,,pruned,,,22
"(((9, 9),), (1, 4))","(((8, 9),), (1, 4))",15,16.0,31.0,15,2,1,expanded,False,True,23
"(((4, 8),), (1, 4))","(((4, 9),), (1, 4))",13,20,33.0,13,,,pruned,,,24
"(((4, 9),), (1, 4))","(((5, 9),), (1, 4))",12,21.0,33.0,12,4,1,expanded,False,True,25
"(((3, 9),), (1, 4))","(((4, 9),), (1, 4))",13,22.0,35.0,13,2,0,expanded,False,True,26
"(((4, 11),), (1, 4))","(((4, 10),), (1, 4))",14,23,37.0,14,,,pruned,,,27
"(((4, 10),), (1, 4))","(((4, 9),), (1, 4))",13,22.0,35.0,13,2,1,expanded,False,True,28
"(((1, 9),), (1, 4))","(((2, 9),), (1, 4))",15,24,39.0,15,,,pruned,,,29
"(((2, 9),), (1, 4))","(((3, 9),), (1, 4))",14,23.0,37.0,14,2,1,expanded,False,True,30
"(((2, 11),), (1, 4))","(((2, 10),), (1, 4))",16,25,41.0,16,,,pruned,,,31
"(((2, 10),), (1, 4))","(((2, 9),), (1, 4))",15,24.0,39.0,15,2,1,expanded,False,True,32
"(((2, 9),), (1, 9))","(((2, 10),), (1, 4))",16,23.0,39.0,16,2,0,expanded,False,True,33
"(((2, 8),), (1, 4))","(((2, 9),), (1, 9))",17,22.0,39.0,17,2,0,expanded,False,True,34
"(((2, 7),), (1, 4))","(((2, 8),), (1, 4))",18,21.0,39.0,18,2,0,expanded,False,True,35
"(((2, 6),), (1, 4))","(((2, 7),), (1, 4))",19,20.0,39.0,19,2,0,expanded,False,True,36
"(((1, 5),), (1, 4))","(((2, 5),), (1, 4))",21,20,41.0,21,,,pruned,,,37
"(((2, 4),), (1, 4))","(((2, 5),), (1, 4))",21,18,39.0,21,,,pruned,,,38
