node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((2, 3), (2, 4), (3, 5), (4, 5)), (1, 5))",,0,4.0,4.0,0,1,0,expanded,False,True,0
"(((2, 3), (2, 4), (3, 4), (5, 5)), (1, 1))","(((2, 3), (2, 4), (3, 4), (4, 5)), (1, 5))",2,4,6.0,2,,,pruned,,,1
"(((2, 3), (2, 4), (3, 4), (4, 5)), (1, 5))","(((2, 3), (2, 4), (3, 5), (4, 5)), (1, 5))",1,3.0,4.0,1,2,1,expanded,False,True,2
"(((2, 3), (2, 4), (3, 3), (5, 5)), (1, 1))","(((2, 3), (2, 4), (3, 3), (4, 5)), (1, 1))",3,4,7.0,3,,,pruned,,,3
"(((2, 3), (2, 4), (3, 3), (4, 5)), (1, 1))","(((2, 3), (2, 4), (3, 4), (4, 5)), (1, 5))",2,3.0,5.0,2,4,1,expanded,False,True,4
"(((1, 3), (2, 4), (3, 4), (4, 5)), (1, 1))","(((2, 3), (2, 4), (3, 4), (4, 5)), (1, 1))",4,4,8.0,4,,,pruned,,,5
"(((2, 3), (2, 4), (3, 4), (4, 5)), (1, 1))","(((2, 3), (2, 4), (3, 3), (4, 5)), (1, 1))",3,3.0,6.0,3,4,1,expanded,False,True,6
"(((2, 3), (2, 4), (3, 3), (3, 6)), (1, 1))","(((2, 3), (2, 4), (3, 3), (3, 5)), (1, 1))",4,4,8.0,4,,,pruned,,,7
"(((2, 3), (2, 4), (3, 3), (3, 5)), (1, 1))","(((2, 3), (2, 4), (3, 3), (4, 5)), (1, 1))",3,3.0,6.0,3,4,1,expanded,False,True,8
"(((2, 4), (3, 3), (3, 4), (4, 5)), (1, 1))","(((2, 3), (2, 4), (3, 4), (4, 5)), (1, 1))",4,2.0,6.0,4,4,0,expanded,False,True,9
"(((1, 3), (2, 4), (3, 2), (4, 5)), (1, 5))","(((2, 3), (2, 4), (3, 2), (4, 5)), (1, 5))",4,5,9.0,4,,,pruned,,,10
"(((2, 3), (2, 4), (3, 2), (5, 5)), (1, 5))","(((2, 3), (2, 4), (3, 2), (4, 5)), (1, 5))",4,5,9.0,4,,,pruned,,,11
"(((2, 3), (2, 4), (3, 1), (4, 5)), (1, 5))","(((2, 3), (2, 4), (3, 2), (4, 5)), (1, 5))",4,5,9.0,4,,,pruned,,,12
"(((2, 3), (2, 4), (3, 2), (4, 5)), (1, 5))","(((2, 3), (2, 4), (3, 3), (4, 5)), (1, 1))",3,4.0,7.0,3,4,3,expanded,False,True,13
"(((1, 3), (2, 4), (3, 4), (3, 5)), (1, 1))","(((2, 3), (2, 4), (3, 4), (3, 5)), (1, 1))",5,4,9.0,5,,,pruned,,,14
"(((2, 3), (2, 4), (3, 4), (3, 5)), (1, 1))","(((2, 3), (2, 4), (3, 4), (4, 5)), (1, 1))",4,3.0,7.0,4,3,1,expanded,False,True,15
"(((2, 4), (3, 3), (3, 4), (3, 5)), (1, 1))","(((2, 4), (3, 3), (3, 4), (4, 5)), (1, 1))",5,2.0,7.0,5,4,0,expanded,False,True,16
"(((2, 4), (3, 4), (4, 3), (4, 5)), (1, 1))","(((2, 4), (3, 3), (3, 4), (4, 5)), (1, 1))",5,2.0,7.0,5,3,0,expanded,False,True,17
"(((1, 3), (2, 4), (3, 5), (4, 5)), (1, 1))","(((2, 3), (2, 4), (3, 5), (4, 5)), (1, 1))",5,5,10.0,5,,,pruned,,,18
"(((2, 3), (2, 4), (3, 6), (4, 5)), (1, 1))","(((2, 3), (2, 4), (3, 5), (4, 5)), (1, 1))",5,5,10.0,5,,,pruned,,,19
"(((2, 3), (2, 4), (3, 5), (4, 5)), (1, 1))","(((2, 3), (2, 4), (3, 4), (4, 5)), (1, 1))",4,4.0,8.0,4,3,2,expanded,False,True,20
"(((1, 3), (2, 4), (3, 2), (3, 5)), (2, 3))","(((2, 3), (2, 4), (3, 2), (3, 5)), (3, 3))",5,5,10.0,5,,,pruned,,,21
"(((2, 3), (2, 4), (3, 1), (3, 5)), (3, 2))","(((2, 3), (2, 4), (3, 2), (3, 5)), (3, 3))",5,5,10.0,5,,,pruned,,,22
"(((2, 3), (2, 4), (3, 2), (3, 6)), (1, 5))","(((2, 3), (2, 4), (3, 2), (3, 5)), (3, 3))",5,5,10.0,5,,,pruned,,,23
"(((2, 3), (2, 4), (3, 2), (3, 5)), (3, 3))","(((2, 3), (2, 4), (3, 3), (3, 5)), (1, 1))",4,4.0,8.0,4,4,3,expanded,False,True,24
"(((1, 5), (2, 3), (2, 4), (3, 3)), (1, 1))","(((2, 3), (2, 4), (2, 5), (3, 3)), (1, 1))",5,5,10.0,5,,,pruned,,,25
"(((2, 3), (2, 4), (2, 5), (3, 3)), (1, 1))","(((2, 3), (2, 4), (3, 3), (3, 5)), (1, 1))",4,4.0,8.0,4,4,1,expanded,False,True,26
"(((2, 6), (3, 3), (3, 4), (4, 5)), (1, 1))","(((2, 5), (3, 3), (3, 4), (4, 5)), (1, 1))",6,4,10.0,6,,,pruned,,,27
"(((2, 5), (3, 3), (3, 4), (4, 5)), (1, 1))","(((2, 4), (3, 3), (3, 4), (4, 5)), (1, 1))",5,3.0,8.0,5,6,1,expanded,False,True,28
"(((2, 4), (3, 3), (3, 6), (4, 5)), (1, 1))","(((2, 4), (3, 3), (3, 5), (4, 5)), (1, 1))",6,4,10.0,6,,,pruned,,,29
"(((2, 4), (3, 3), (3, 5), (4, 5)), (1, 1))","(((2, 3), (2, 4), (3, 5), (4, 5)), (1, 1))",5,3.0,8.0,5,6,1,expanded,False,True,30
"(((2, 3), (2, 4), (3, 3), (3, 5)), (1, 5))","(((2, 3), (2, 4), (2, 5), (3, 3)), (1, 1))",5,3.0,8.0,5,2,0,expanded,False,True,31
"(((2, 4), (3, 4), (3, 5), (4, 3)), (1, 1))","(((2, 4), (3, 3), (3, 4), (3, 5)), (1, 1))",6,2.0,8.0,6,2,0,expanded,False,True,32
"(((2, 4), (3, 4), (4, 4), (4, 5)), (1, 1))","(((2, 4), (3, 4), (4, 3), (4, 5)), (1, 1))",6,2.0,8.0,6,2,0,expanded,False,True,33
"(((2, 3), (2, 4), (3, 3), (3, 4)), (1, 1))","(((2, 3), (2, 4), (3, 3), (3, 5)), (1, 5))",6,2.0,8.0,6,0,0,expanded,False,True,34
"(((1, 3), (2, 4), (2, 5), (3, 4)), (1, 1))","(((2, 3), (2, 4), (2, 5), (3, 4)), (1, 1))",6,5,11.0,6,,,pruned,,,35
"(((1, 5), (2, 3), (2, 4), (3, 4)), (1, 1))","(((2, 3), (2, 4), (2, 5), (3, 4)), (1, 1))",6,5,11.0,6,,,pruned,,,36
"(((2, 3), (2, 4), (2, 5), (3, 4)), (1, 1))","(((2, 3), (2, 4), (3, 4), (3, 5)), (1, 1))",5,4.0,9.0,5,6,2,expanded,False,True,37
"(((2, 6), (3, 3), (3, 4), (3, 5)), (1, 1))","(((2, 5), (3, 3), (3, 4), (3, 5)), (1, 1))",7,4,11.0,7,,,pruned,,,38
"(((2, 5), (3, 3), (3, 4), (3, 5)), (1, 1))","(((2, 4), (3, 3), (3, 4), (3, 5)), (1, 1))",6,3.0,9.0,6,5,1,expanded,False,True,39
"(((1, 5), (2, 4), (3, 3), (3, 4)), (1, 1))","(((2, 4), (2, 5), (3, 3), (3, 4)), (1, 1))",7,4,11.0,7,,,pruned,,,40
"(((2, 4), (2, 5), (3, 3), (3, 4)), (1, 1))","(((2, 4), (3, 3), (3, 4), (3, 5)), (1, 1))",6,3.0,9.0,6,4,1,expanded,False,True,41
"(((2, 6), (3, 4), (4, 3), (4, 5)), (1, 1))","(((2, 5), (3, 4), (4, 3), (4, 5)), (1, 1))",7,4,11.0,7,,,pruned,,,42
"(((2, 5), (3, 4), (4, 3), (4, 5)), (1, 1))","(((2, 4), (3, 4), (4, 3), (4, 5)), (1, 1))",6,3.0,9.0,6,4,1,expanded,False,True,43
"(((2, 4), (3, 6), (4, 3), (4, 5)), (1, 1))","(((2, 4), (3, 5), (4, 3), (4, 5)), (1, 1))",7,4,11.0,7,,,pruned,,,44
"(((2, 4), (3, 5), (4, 2), (4, 5)), (1, 1))","(((2, 4), (3, 5), (4, 3), (4, 5)), (1, 1))",7,4,11.0,7,,,pruned,,,45
"(((2, 4), (3, 5), (4, 3), (4, 5)), (1, 1))","(((2, 4), (3, 4), (4, 3), (4, 5)), (1, 1))",6,3.0,9.0,6,4,2,expanded,False,True,46
"(((2, 5), (3, 3), (4, 5), (5, 4)), (1, 1))","(((2, 5), (3, 3), (4, 4), (4, 5)), (1, 1))",7,4,11.0,7,,,pruned,,,47
"(((2, 5), (3, 3), (4, 4), (5, 5)), (1, 1))","(((2, 5), (3, 3), (4, 4), (4, 5)), (1, 1))",7,4,11.0,7,,,pruned,,,48
"(((1, 5), (3, 3), (4, 4), (4, 5)), (1, 1))","(((2, 5), (3, 3), (4, 4), (4, 5)), (1, 1))",7,4,11.0,7,,,pruned,,,49
"(((2, 6), (3, 3), (4, 4), (4, 5)), (1, 1))","(((2, 5), (3, 3), (4, 4), (4, 5)), (1, 1))",7,4,11.0,7,,,pruned,,,50
"(((2, 5), (3, 3), (4, 4), (4, 5)), (1, 1))","(((2, 5), (3, 3), (3, 4), (4, 5)), (1, 1))",6,3.0,9.0,6,10,4,expanded,False,True,51
