node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((2, 4), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",,0,2.0,2.0,0,8,0,expanded,False,True,0
"(((2, 4), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",1,1.0,2.0,1,6,0,expanded,False,True,1
"(((2, 4), (3, 3), (3, 4), (3, 5), (4, 3)), (1, 3))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",1,2.0,3.0,1,4,0,expanded,False,True,2
"(((1, 3), (2, 4), (3, 4), (3, 5), (4, 4)), (2, 1))","(((2, 3), (2, 4), (3, 4), (3, 5), (4, 4)), (2, 1))",2,3,5.0,2,,,pruned,,,3
"(((2, 3), (2, 4), (3, 4), (3, 5), (4, 4)), (2, 1))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",1,2.0,3.0,1,5,1,expanded,False,True,4
"(((2, 4), (3, 3), (3, 4), (4, 4), (5, 5)), (2, 5))","(((2, 4), (3, 3), (3, 4), (4, 4), (4, 5)), (2, 5))",2,2,4.0,2,,,pruned,,,5
"(((2, 4), (3, 3), (3, 4), (4, 4), (4, 5)), (2, 5))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",1,2.0,3.0,1,2,1,expanded,False,True,6
"(((2, 4), (2, 5), (3, 3), (3, 4), (4, 4)), (1, 3))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",1,2.0,3.0,1,4,0,expanded,False,True,7
"(((2, 4), (3, 4), (4, 3), (4, 4), (5, 5)), (2, 5))","(((2, 4), (3, 4), (4, 3), (4, 4), (4, 5)), (2, 5))",3,1,4.0,3,,,pruned,,,8
"(((2, 4), (3, 4), (4, 3), (4, 4), (4, 5)), (2, 5))","(((2, 4), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))",2,1.0,3.0,2,3,1,expanded,False,True,9
"(((2, 4), (2, 5), (3, 4), (4, 3), (4, 4)), (1, 3))","(((2, 4), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))",2,1.0,3.0,2,4,0,expanded,False,True,10
"(((2, 4), (3, 3), (3, 4), (3, 5), (4, 6)), (1, 3))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 5)), (1, 3))",2,4,6.0,2,,,pruned,,,11
"(((2, 4), (3, 3), (3, 4), (3, 5), (4, 5)), (1, 3))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",1,3.0,4.0,1,4,1,expanded,False,True,12
"(((2, 6), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))","(((2, 5), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",2,4,6.0,2,,,pruned,,,13
"(((2, 5), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",1,3.0,4.0,1,6,1,expanded,False,True,14
"(((2, 3), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",1,3.0,4.0,1,6,0,expanded,False,True,15
"(((2, 6), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))","(((2, 5), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))",3,3,6.0,3,,,pruned,,,16
"(((2, 5), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))","(((2, 4), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))",2,2.0,4.0,2,4,1,expanded,False,True,17
"(((2, 3), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))","(((2, 4), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))",2,2.0,4.0,2,6,0,expanded,False,True,18
"(((2, 4), (3, 4), (3, 5), (4, 4), (5, 3)), (1, 3))","(((2, 4), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))",2,2.0,4.0,2,3,0,expanded,False,True,19
"(((2, 4), (3, 3), (3, 4), (4, 3), (5, 5)), (1, 3))","(((2, 4), (3, 3), (3, 4), (4, 3), (4, 5)), (2, 5))",3,2,5.0,3,,,pruned,,,20
"(((2, 4), (3, 3), (3, 4), (4, 3), (4, 5)), (2, 5))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 3)), (1, 3))",2,2.0,4.0,2,3,1,expanded,False,True,21
"(((2, 4), (2, 5), (3, 3), (3, 4), (4, 3)), (1, 3))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 3)), (1, 3))",2,2.0,4.0,2,0,0,expanded,False,True,22
"(((2, 3), (2, 4), (3, 4), (3, 5), (4, 3)), (2, 1))","(((2, 3), (2, 4), (3, 4), (3, 5), (4, 4)), (2, 1))",2,2.0,4.0,2,3,0,expanded,False,True,23
"(((2, 3), (2, 4), (3, 4), (4, 4), (5, 5)), (2, 5))","(((2, 3), (2, 4), (3, 4), (4, 4), (4, 5)), (2, 5))",3,2,5.0,3,,,pruned,,,24
"(((2, 3), (2, 4), (3, 4), (4, 4), (4, 5)), (2, 5))","(((2, 3), (2, 4), (3, 4), (3, 5), (4, 4)), (2, 1))",2,2.0,4.0,2,2,1,expanded,False,True,25
"(((1, 3), (2, 4), (2, 5), (3, 4), (4, 4)), (2, 1))","(((2, 3), (2, 4), (2, 5), (3, 4), (4, 4)), (2, 1))",3,3,6.0,3,,,pruned,,,26
"(((2, 3), (2, 4), (2, 5), (3, 4), (4, 4)), (2, 1))","(((2, 3), (2, 4), (3, 4), (3, 5), (4, 4)), (2, 1))",2,2.0,4.0,2,5,1,expanded,False,True,27
"(((2, 4), (3, 4), (3, 5), (4, 3), (4, 6)), (1, 3))","(((2, 4), (3, 4), (3, 5), (4, 3), (4, 5)), (1, 3))",3,3,6.0,3,,,pruned,,,28
"(((2, 4), (3, 4), (3, 5), (4, 3), (4, 5)), (1, 3))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 5)), (1, 3))",2,2.0,4.0,2,4,1,expanded,False,True,29
"(((2, 4), (3, 4), (3, 5), (4, 4), (5, 5)), (1, 3))","(((2, 4), (3, 4), (3, 5), (4, 4), (5, 4)), (1, 3))",4,2,6.0,4,,,pruned,,,30
"(((2, 4), (3, 4), (3, 5), (4, 4), (5, 4)), (1, 3))","(((2, 4), (3, 4), (3, 5), (4, 4), (5, 3)), (1, 3))",3,1.0,4.0,3,3,1,expanded,False,True,31
"(((2, 4), (3, 3), (3, 4), (4, 3), (4, 4)), (1, 3))","(((2, 4), (3, 3), (3, 4), (4, 3), (4, 5)), (2, 5))",3,1.0,4.0,3,2,0,expanded,False,True,32
"(((2, 6), (3, 3), (3, 4), (3, 5), (4, 3)), (1, 3))","(((2, 5), (3, 3), (3, 4), (3, 5), (4, 3)), (1, 3))",3,4,7.0,3,,,pruned,,,33
"(((2, 5), (3, 3), (3, 4), (3, 5), (4, 3)), (1, 3))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 3)), (1, 3))",2,3.0,5.0,2,4,1,expanded,False,True,34
"(((2, 3), (3, 3), (3, 4), (3, 5), (4, 3)), (1, 3))","(((2, 4), (3, 3), (3, 4), (3, 5), (4, 3)), (1, 3))",2,3.0,5.0,2,6,0,expanded,False,True,35
"(((1, 3), (2, 4), (3, 4), (3, 5), (4, 5)), (2, 1))","(((2, 3), (2, 4), (3, 4), (3, 5), (4, 5)), (2, 1))",3,4,7.0,3,,,pruned,,,36
"(((2, 3), (2, 4), (3, 4), (3, 5), (4, 6)), (2, 1))","(((2, 3), (2, 4), (3, 4), (3, 5), (4, 5)), (2, 1))",3,4,7.0,3,,,pruned,,,37
"(((2, 3), (2, 4), (3, 4), (3, 5), (4, 5)), (2, 1))","(((2, 3), (2, 4), (3, 4), (3, 5), (4, 4)), (2, 1))",2,3.0,5.0,2,2,2,expanded,True,True,38
"(((2, 3), (3, 3), (3, 4), (4, 4), (5, 5)), (1, 3))","(((2, 3), (3, 3), (3, 4), (4, 4), (4, 5)), (1, 3))",3,3,6.0,3,,,pruned,,,39
"(((2, 3), (3, 3), (3, 4), (4, 4), (4, 5)), (1, 3))","(((2, 4), (3, 3), (3, 4), (4, 4), (4, 5)), (2, 5))",2,3.0,5.0,2,2,1,expanded,False,True,40
"(((2, 4), (2, 5), (3, 3), (3, 4), (4, 6)), (1, 3))","(((2, 4), (2, 5), (3, 3), (3, 4), (4, 5)), (1, 3))",3,4,7.0,3,,,pruned,,,41
"(((2, 4), (2, 5), (3, 3), (3, 4), (4, 5)), (1, 3))","(((2, 4), (2, 5), (3, 3), (3, 4), (4, 4)), (1, 3))",2,3.0,5.0,2,4,1,expanded,False,True,42
"(((1, 3), (2, 5), (3, 4), (3, 5), (4, 4)), (1, 4))","(((2, 3), (2, 5), (3, 4), (3, 5), (4, 4)), (2, 1))",3,4,7.0,3,,,pruned,,,43
"(((2, 3), (2, 5), (3, 4), (3, 5), (4, 4)), (2, 1))","(((2, 5), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",2,3.0,5.0,2,5,1,expanded,False,True,44
"(((2, 3), (2, 5), (3, 3), (3, 4), (4, 4)), (2, 1))","(((2, 3), (3, 3), (3, 4), (3, 5), (4, 4)), (1, 3))",2,3.0,5.0,2,4,0,expanded,False,True,45
"(((2, 3), (3, 4), (4, 3), (4, 4), (5, 5)), (1, 3))","(((2, 3), (3, 4), (4, 3), (4, 4), (4, 5)), (1, 3))",4,2,6.0,4,,,pruned,,,46
"(((2, 3), (3, 4), (4, 3), (4, 4), (4, 5)), (1, 3))","(((2, 4), (3, 4), (4, 3), (4, 4), (4, 5)), (2, 5))",3,2.0,5.0,3,4,1,expanded,False,True,47
"(((1, 4), (3, 3), (4, 3), (4, 4), (4, 5)), (1, 3))","(((2, 4), (3, 3), (4, 3), (4, 4), (4, 5)), (2, 5))",4,3,7.0,4,,,pruned,,,48
"(((2, 4), (3, 3), (4, 3), (4, 4), (5, 5)), (2, 5))","(((2, 4), (3, 3), (4, 3), (4, 4), (4, 5)), (2, 5))",4,2,6.0,4,,,pruned,,,49
"(((2, 4), (3, 3), (4, 3), (4, 4), (4, 5)), (2, 5))","(((2, 4), (3, 4), (4, 3), (4, 4), (4, 5)), (2, 5))",3,2.0,5.0,3,4,2,expanded,False,True,50
"(((1, 4), (2, 5), (3, 5), (4, 3), (4, 4)), (1, 3))","(((2, 4), (2, 5), (3, 5), (4, 3), (4, 4)), (1, 3))",4,3,7.0,4,,,pruned,,,51
"(((2, 4), (2, 5), (3, 6), (4, 3), (4, 4)), (1, 3))","(((2, 4), (2, 5), (3, 5), (4, 3), (4, 4)), (1, 3))",4,3,7.0,4,,,pruned,,,52
"(((2, 4), (2, 5), (3, 5), (4, 3), (4, 4)), (1, 3))","(((2, 4), (2, 5), (3, 4), (4, 3), (4, 4)), (1, 3))",3,2.0,5.0,3,8,2,expanded,False,True,53
"(((1, 4), (2, 5), (3, 3), (4, 3), (4, 4)), (1, 3))","(((2, 4), (2, 5), (3, 3), (4, 3), (4, 4)), (1, 3))",4,3,7.0,4,,,pruned,,,54
"(((2, 4), (2, 5), (3, 3), (4, 3), (4, 4)), (1, 3))","(((2, 4), (2, 5), (3, 4), (4, 3), (4, 4)), (1, 3))",3,2.0,5.0,3,4,1,expanded,False,True,55
"(((2, 4), (2, 5), (3, 4), (4, 4), (5, 3)), (1, 3))","(((2, 4), (2, 5), (3, 4), (4, 3), (4, 4)), (1, 3))",3,2.0,5.0,3,3,0,expanded,False,True,56
"(((3, 3), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))","(((2, 3), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))",3,2.0,5.0,3,2,0,expanded,False,True,57
"(((2, 3), (2, 5), (3, 4), (4, 3), (4, 4)), (2, 1))","(((2, 3), (3, 4), (3, 5), (4, 3), (4, 4)), (1, 3))",3,2.0,5.0,3,4,0,expanded,False,True,58
"(((2, 3), (2, 4), (3, 4), (4, 3), (5, 5)), (2, 1))","(((2, 3), (2, 4), (3, 4), (4, 3), (4, 5)), (2, 5))",4,2,6.0,4,,,pruned,,,59
"(((2, 3), (2, 4), (3, 4), (4, 3), (4, 5)), (2, 5))","(((2, 3), (2, 4), (3, 4), (3, 5), (4, 3)), (2, 1))",3,2.0,5.0,3,3,1,expanded,False,True,60
"(((2, 3), (2, 4), (2, 5), (3, 4), (4, 3)), (2, 1))","(((2, 3), (2, 4), (3, 4), (3, 5), (4, 3)), (2, 1))",3,2.0,5.0,3,2,0,expanded,False,True,61
