node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((1, 4), (3, 3), (3, 4), (5, 5), (6, 4)), (1, 1))","(((1, 4), (3, 3), (3, 4), (5, 4), (5, 5)), (1, 1))",1,11,12.0,1,,,pruned,,,0
"(((1, 4), (3, 3), (3, 4), (5, 4), (5, 5)), (1, 1))",,0,10.0,10.0,0,8,1,expanded,False,True,1
"(((1, 4), (2, 3), (3, 4), (5, 5), (6, 4)), (1, 1))","(((1, 4), (2, 3), (3, 4), (5, 4), (5, 5)), (1, 1))",2,10,12.0,2,,,pruned,,,2
"(((1, 4), (2, 3), (3, 4), (5, 4), (5, 5)), (1, 1))","(((1, 4), (3, 3), (3, 4), (5, 4), (5, 5)), (1, 1))",1,9.0,10.0,1,6,1,expanded,False,True,3
"(((1, 4), (2, 4), (3, 3), (5, 5), (6, 4)), (1, 1))","(((1, 4), (2, 4), (3, 3), (5, 4), (5, 5)), (1, 1))",2,10,12.0,2,,,pruned,,,4
"(((1, 4), (2, 4), (3, 3), (5, 4), (5, 5)), (1, 1))","(((1, 4), (3, 3), (3, 4), (5, 4), (5, 5)), (1, 1))",1,9.0,10.0,1,6,1,expanded,False,True,5
"(((1, 4), (3, 3), (3, 4), (4, 4), (5, 6)), (1, 1))","(((1, 4), (3, 3), (3, 4), (4, 4), (5, 5)), (1, 1))",2,9,11.0,2,,,pruned,,,6
"(((1, 4), (3, 3), (3, 4), (4, 4), (5, 5)), (1, 1))","(((1, 4), (3, 3), (3, 4), (5, 4), (5, 5)), (1, 1))",1,9.0,10.0,1,6,1,expanded,False,True,7
"(((1, 5), (3, 3), (3, 4), (5, 5), (6, 4)), (1, 1))","(((1, 5), (3, 3), (3, 4), (5, 4), (5, 5)), (1, 1))",2,10,12.0,2,,,pruned,,,8
"(((1, 5), (3, 3), (3, 4), (5, 4), (5, 5)), (1, 1))","(((1, 4), (3, 3), (3, 4), (5, 4), (5, 5)), (1, 1))",1,9.0,10.0,1,8,1,expanded,False,True,9
"(((1, 4), (2, 3), (2, 4), (5, 5), (6, 4)), (1, 1))","(((1, 4), (2, 3), (2, 4), (5, 4), (5, 5)), (1, 1))",3,9,12.0,3,,,pruned,,,10
"(((1, 4), (2, 3), (2, 4), (5, 4), (5, 5)), (1, 1))","(((1, 4), (2, 3), (3, 4), (5, 4), (5, 5)), (1, 1))",2,8.0,10.0,2,5,1,expanded,False,True,11
"(((1, 4), (2, 3), (3, 4), (4, 4), (5, 6)), (1, 1))","(((1, 4), (2, 3), (3, 4), (4, 4), (5, 5)), (1, 1))",3,8,11.0,3,,,pruned,,,12
"(((1, 4), (2, 3), (3, 4), (4, 4), (5, 5)), (1, 1))","(((1, 4), (2, 3), (3, 4), (5, 4), (5, 5)), (1, 1))",2,8.0,10.0,2,4,1,expanded,False,True,13
"(((1, 5), (2, 3), (3, 4), (5, 5), (6, 4)), (1, 1))","(((1, 5), (2, 3), (3, 4), (5, 4), (5, 5)), (1, 1))",3,9,12.0,3,,,pruned,,,14
