node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((2, 3), (2, 6), (3, 3), (3, 4), (3, 5)), (1, 2))","(((2, 3), (2, 5), (3, 3), (3, 4), (3, 5)), (1, 2))",1,3,4.0,1,,,pruned,,,0
"(((2, 3), (2, 5), (3, 3), (3, 4), (3, 5)), (1, 2))",,0,2.0,2.0,0,6,1,expanded,False,True,1
"(((2, 4), (2, 5), (3, 3), (3, 4), (3, 5)), (1, 2))","(((2, 3), (2, 5), (3, 3), (3, 4), (3, 5)), (1, 2))",1,2.0,3.0,1,2,0,expanded,False,True,2
"(((2, 3), (2, 4), (3, 3), (3, 4), (3, 5)), (1, 2))","(((2, 3), (2, 5), (3, 3), (3, 4), (3, 5)), (1, 2))",1,2.0,3.0,1,2,0,expanded,False,True,3
"(((2, 2), (2, 6), (3, 3), (3, 4), (3, 5)), (1, 2))","(((2, 2), (2, 5), (3, 3), (3, 4), (3, 5)), (1, 2))",2,4,6.0,2,,,pruned,,,4
"(((2, 2), (2, 5), (3, 3), (3, 4), (3, 5)), (1, 2))","(((2, 3), (2, 5), (3, 3), (3, 4), (3, 5)), (1, 2))",1,3.0,4.0,1,4,1,expanded,False,True,5
"(((2, 3), (2, 6), (3, 3), (3, 5), (4, 4)), (1, 2))","(((2, 3), (2, 5), (3, 3), (3, 5), (4, 4)), (1, 2))",2,4,6.0,2,,,pruned,,,6
"(((2, 3), (2, 5), (3, 3), (3, 6), (4, 4)), (1, 2))","(((2, 3), (2, 5), (3, 3), (3, 5), (4, 4)), (1, 2))",2,4,6.0,2,,,pruned,,,7
"(((2, 3), (2, 5), (3, 3), (3, 5), (4, 4)), (1, 2))","(((2, 3), (2, 5), (3, 3), (3, 4), (3, 5)), (1, 2))",1,3.0,4.0,1,7,2,expanded,False,True,8
"(((1, 4), (2, 3), (2, 5), (3, 3), (3, 5)), (1, 2))","(((2, 3), (2, 4), (2, 5), (3, 3), (3, 5)), (1, 2))",2,4,6.0,2,,,pruned,,,9
"(((2, 3), (2, 4), (2, 5), (3, 3), (3, 6)), (1, 2))","(((2, 3), (2, 4), (2, 5), (3, 3), (3, 5)), (1, 2))",2,4,6.0,2,,,pruned,,,10
"(((2, 3), (2, 4), (2, 5), (3, 3), (3, 5)), (1, 2))","(((2, 3), (2, 5), (3, 3), (3, 4), (3, 5)), (1, 2))",1,3.0,4.0,1,6,2,expanded,False,True,11
"(((2, 4), (2, 5), (3, 4), (3, 5), (4, 3)), (1, 2))","(((2, 4), (2, 5), (3, 3), (3, 4), (3, 5)), (1, 2))",2,2.0,4.0,2,3,0,expanded,False,True,12
"(((2, 3), (2, 4), (3, 3), (3, 4), (4, 5)), (2, 5))","(((2, 3), (2, 4), (3, 3), (3, 4), (3, 5)), (1, 2))",2,2.0,4.0,2,1,0,expanded,False,True,13
"(((2, 6), (3, 2), (3, 3), (3, 4), (3, 5)), (1, 2))","(((2, 5), (3, 2), (3, 3), (3, 4), (3, 5)), (1, 2))",3,3,6.0,3,,,pruned,,,14
