node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((1, 4), (2, 5), (3, 2), (4, 2), (4, 3)), (1, 3))","(((2, 4), (2, 5), (3, 2), (4, 2), (4, 3)), (1, 3))",1,2,3.0,1,,,pruned,,,0
"(((2, 4), (2, 5), (3, 2), (4, 2), (5, 3)), (1, 3))","(((2, 4), (2, 5), (3, 2), (4, 2), (4, 3)), (1, 3))",1,2,3.0,1,,,pruned,,,1
"(((2, 4), (2, 5), (3, 1), (4, 2), (4, 3)), (1, 3))","(((2, 4), (2, 5), (3, 2), (4, 2), (4, 3)), (1, 3))",1,2,3.0,1,,,pruned,,,2
"(((1, 5), (2, 4), (3, 2), (4, 2), (4, 3)), (1, 3))","(((2, 4), (2, 5), (3, 2), (4, 2), (4, 3)), (1, 3))",1,2,3.0,1,,,pruned,,,3
"(((2, 4), (2, 5), (3, 2), (4, 2), (4, 3)), (1, 3))",,0,1.0,1.0,0,8,4,expanded,False,True,4
"(((2, 5), (3, 2), (3, 4), (4, 2), (5, 3)), (1, 3))","(((2, 5), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))",2,3,5.0,2,,,pruned,,,5
"(((2, 5), (3, 1), (3, 4), (4, 2), (4, 3)), (1, 3))","(((2, 5), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))",2,3,5.0,2,,,pruned,,,6
"(((2, 5), (3, 2), (3, 4), (4, 2), (4, 3)), (1, 3))","(((2, 4), (2, 5), (3, 2), (4, 2), (4, 3)), (1, 3))",1,2.0,3.0,1,6,2,expanded,False,True,7
"(((1, 4), (2, 5), (3, 2), (3, 3), (4, 2)), (1, 3))","(((2, 4), (2, 5), (3, 2), (3, 3), (4, 2)), (2, 6))",2,3,5.0,2,,,pruned,,,8
"(((1, 5), (2, 4), (3, 2), (3, 3), (4, 2)), (2, 5))","(((2, 4), (2, 5), (3, 2), (3, 3), (4, 2)), (2, 6))",2,3,5.0,2,,,pruned,,,9
"(((2, 4), (2, 5), (3, 2), (3, 3), (4, 1)), (2, 6))","(((2, 4), (2, 5), (3, 2), (3, 3), (4, 2)), (2, 6))",2,3,5.0,2,,,pruned,,,10
