node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((3, 5), (4, 6), (5, 7), (6, 6), (7, 5)), (4, 5))",,0,7.0,7.0,0,7,0,expanded,False,True,0
"(((3, 5), (4, 6), (5, 7), (7, 5), (7, 6)), (4, 5))","(((3, 5), (4, 6), (5, 7), (6, 6), (7, 5)), (4, 5))",1,6.0,7.0,1,5,0,expanded,False,True,1
"(((3, 5), (4, 6), (5, 7), (6, 6), (7, 7)), (4, 5))","(((3, 5), (4, 6), (5, 7), (6, 6), (7, 6)), (4, 5))",2,7,9.0,2,,,pruned,,,2
"(((3, 5), (4, 6), (5, 7), (6, 6), (7, 6)), (4, 5))","(((3, 5), (4, 6), (5, 7), (6, 6), (7, 5)), (4, 5))",1,6.0,7.0,1,6,1,expanded,False,True,3
"(((3, 5), (3, 6), (5, 7), (6, 6), (7, 5)), (4, 5))","(((3, 5), (4, 6), (5, 7), (6, 6), (7, 5)), (4, 5))",1,6.0,7.0,1,7,0,expanded,False,True,4
"(((3, 5), (4, 6), (5, 6), (6, 6), (7, 5)), (4, 5))","(((3, 5), (4, 6), (5, 7), (6, 6), (7, 5)), (4, 5))",1,6.0,7.0,1,5,0,expanded,False,True,5
"(((3, 5), (3, 6), (5, 7), (7, 5), (7, 6)), (4, 5))","(((3, 5), (4, 6), (5, 7), (7, 5), (7, 6)), (4, 5))",2,5.0,7.0,2,5,0,expanded,False,True,6
"(((3, 5), (4, 6), (5, 6), (7, 5), (7, 6)), (4, 5))","(((3, 5), (4, 6), (5, 7), (7, 5), (7, 6)), (4, 5))",2,5.0,7.0,2,4,0,expanded,False,True,7
"(((3, 5), (3, 6), (5, 7), (6, 6), (7, 7)), (4, 5))","(((3, 5), (3, 6), (5, 7), (6, 6), (7, 6)), (4, 5))",3,6,9.0,3,,,pruned,,,8
"(((3, 5), (3, 6), (5, 7), (6, 6), (7, 6)), (4, 5))","(((3, 5), (4, 6), (5, 7), (6, 6), (7, 6)), (4, 5))",2,5.0,7.0,2,6,1,expanded,False,True,9
