node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((4, 4), (6, 2)), (1, 1))","(((4, 4), (5, 2)), (1, 1))",1,5,6.0,1,,,pruned,,,0
"(((4, 4), (5, 1)), (1, 1))","(((4, 4), (5, 2)), (1, 1))",1,5,6.0,1,,,pruned,,,1
"(((4, 4), (5, 2)), (1, 1))",,0,4.0,4.0,0,6,2,expanded,False,True,2
"(((3, 5), (5, 2)), (1, 1))","(((3, 4), (5, 2)), (1, 1))",2,4,6.0,2,,,pruned,,,3
"(((3, 4), (6, 2)), (1, 1))","(((3, 4), (5, 2)), (1, 1))",2,4,6.0,2,,,pruned,,,4
"(((3, 4), (5, 1)), (1, 1))","(((3, 4), (5, 2)), (1, 1))",2,4,6.0,2,,,pruned,,,5
"(((3, 4), (5, 2)), (1, 1))","(((4, 4), (5, 2)), (1, 1))",1,3.0,4.0,1,8,3,expanded,False,True,6
"(((4, 2), (4, 4)), (1, 1))","(((4, 4), (5, 2)), (1, 1))",1,3.0,4.0,1,4,0,expanded,False,True,7
"(((3, 3), (6, 2)), (1, 1))","(((3, 3), (5, 2)), (1, 1))",3,3,6.0,3,,,pruned,,,8
"(((3, 3), (5, 1)), (1, 1))","(((3, 3), (5, 2)), (1, 1))",3,3,6.0,3,,,pruned,,,9
"(((3, 3), (5, 2)), (1, 1))","(((3, 4), (5, 2)), (1, 1))",2,2.0,4.0,2,6,2,expanded,False,True,10
"(((3, 5), (4, 2)), (1, 1))","(((3, 4), (4, 2)), (1, 1))",3,3,6.0,3,,,pruned,,,11
"(((3, 4), (4, 2)), (1, 1))","(((3, 4), (5, 2)), (1, 1))",2,2.0,4.0,2,6,1,expanded,False,True,12
"(((3, 1), (4, 4)), (1, 1))","(((3, 2), (4, 4)), (1, 1))",3,3,6.0,3,,,pruned,,,13
"(((3, 2), (4, 4)), (1, 1))","(((4, 2), (4, 4)), (1, 1))",2,2.0,4.0,2,6,1,expanded,False,True,14
"(((3, 3), (4, 2)), (1, 1))","(((3, 3), (5, 2)), (1, 1))",3,1.0,4.0,3,4,0,expanded,False,True,15
"(((3, 1), (3, 4)), (1, 1))","(((3, 2), (3, 4)), (1, 1))",4,2,6.0,4,,,pruned,,,16
"(((3, 2), (3, 5)), (1, 1))","(((3, 2), (3, 4)), (1, 1))",4,2,6.0,4,,,pruned,,,17
"(((3, 2), (3, 4)), (1, 1))","(((3, 4), (4, 2)), (1, 1))",3,1.0,4.0,3,8,2,expanded,False,True,18
"(((3, 2), (3, 3)), (1, 1))","(((3, 3), (4, 2)), (1, 1))",4,0.0,4.0,4,0,0,goal,False,False,19
