node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((2, 5), (2, 6), (3, 1), (4, 4), (4, 5)), (1, 5))",,0,7.0,7.0,0,2,0,expanded,False,True,0
"(((2, 5), (3, 1), (3, 6), (4, 4), (4, 5)), (1, 5))","(((2, 5), (2, 6), (3, 1), (4, 4), (4, 5)), (1, 5))",1,6.0,7.0,1,2,0,expanded,False,True,1
"(((2, 6), (3, 1), (3, 5), (4, 4), (4, 5)), (1, 5))","(((2, 5), (2, 6), (3, 1), (4, 4), (4, 5)), (1, 5))",1,6.0,7.0,1,3,0,expanded,False,True,2
"(((2, 5), (3, 1), (4, 5), (4, 6), (5, 4)), (1, 1))","(((2, 5), (3, 1), (4, 4), (4, 5), (4, 6)), (1, 1))",3,6,9.0,3,,,pruned,,,3
"(((2, 5), (3, 1), (4, 4), (4, 5), (5, 6)), (1, 1))","(((2, 5), (3, 1), (4, 4), (4, 5), (4, 6)), (1, 1))",3,6,9.0,3,,,pruned,,,4
"(((2, 5), (3, 1), (4, 4), (4, 6), (5, 5)), (1, 1))","(((2, 5), (3, 1), (4, 4), (4, 5), (4, 6)), (1, 1))",3,6,9.0,3,,,pruned,,,5
"(((1, 5), (3, 1), (4, 4), (4, 5), (4, 6)), (1, 1))","(((2, 5), (3, 1), (4, 4), (4, 5), (4, 6)), (1, 1))",3,4,7.0,3,,,pruned,,,6
"(((2, 5), (3, 1), (4, 4), (4, 5), (4, 6)), (1, 1))","(((2, 5), (3, 1), (3, 6), (4, 4), (4, 5)), (1, 5))",2,5.0,7.0,2,7,4,expanded,False,True,7
"(((3, 1), (3, 5), (3, 6), (4, 4), (4, 5)), (1, 5))","(((2, 5), (3, 1), (3, 6), (4, 4), (4, 5)), (1, 5))",2,5.0,7.0,2,1,0,expanded,False,True,8
"(((2, 5), (4, 1), (4, 5), (4, 6), (5, 4)), (1, 1))","(((2, 5), (4, 1), (4, 4), (4, 5), (4, 6)), (1, 1))",4,5,9.0,4,,,pruned,,,9
"(((2, 5), (4, 1), (4, 4), (4, 6), (5, 5)), (1, 1))","(((2, 5), (4, 1), (4, 4), (4, 5), (4, 6)), (1, 1))",4,5,9.0,4,,,pruned,,,10
"(((1, 5), (4, 1), (4, 4), (4, 5), (4, 6)), (1, 1))","(((2, 5), (4, 1), (4, 4), (4, 5), (4, 6)), (1, 1))",4,3,7.0,4,,,pruned,,,11
"(((2, 5), (4, 1), (4, 4), (4, 5), (5, 6)), (1, 1))","(((2, 5), (4, 1), (4, 4), (4, 5), (4, 6)), (1, 1))",4,5,9.0,4,,,pruned,,,12
"(((2, 5), (4, 4), (4, 5), (4, 6), (5, 1)), (1, 1))","(((2, 5), (4, 1), (4, 4), (4, 5), (4, 6)), (1, 1))",4,5,9.0,4,,,pruned,,,13
"(((2, 5), (4, 1), (4, 4), (4, 5), (4, 6)), (1, 1))","(((2, 5), (3, 1), (4, 4), (4, 5), (4, 6)), (1, 1))",3,4.0,7.0,3,7,5,expanded,False,True,14
"(((3, 1), (3, 5), (4, 4), (4, 5), (5, 6)), (1, 5))","(((3, 1), (3, 5), (4, 4), (4, 5), (4, 6)), (1, 5))",4,5,9.0,4,,,pruned,,,15
