node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((2, 2), (3, 3), (4, 3), (4, 4)), (5, 3))",,0,10.0,10.0,0,1,0,expanded,False,True,0
"(((2, 2), (3, 3), (3, 4), (4, 3)), (4, 4))","(((2, 2), (3, 3), (4, 3), (4, 4)), (5, 3))",1,9.0,10.0,1,2,0,expanded,False,True,1
"(((2, 2), (2, 4), (3, 3), (4, 3)), (3, 4))","(((2, 2), (3, 3), (3, 4), (4, 3)), (4, 4))",2,8.0,10.0,2,2,0,expanded,False,True,2
"(((2, 2), (3, 3), (3, 4), (4, 2)), (4, 3))","(((2, 2), (3, 3), (3, 4), (4, 3)), (4, 4))",2,8.0,10.0,2,3,0,expanded,False,True,3
"(((2, 2), (2, 4), (3, 3), (4, 2)), (3, 4))","(((2, 2), (2, 4), (3, 3), (4, 3)), (3, 4))",3,7.0,10.0,3,3,0,expanded,False,True,4
"(((1, 4), (2, 2), (3, 3), (4, 3)), (1, 1))","(((2, 2), (2, 4), (3, 3), (4, 3)), (3, 4))",3,7.0,10.0,3,4,0,expanded,False,True,5
"(((2, 2), (3, 3), (3, 4), (4, 1)), (4, 2))","(((2, 2), (3, 3), (3, 4), (4, 2)), (4, 3))",3,7.0,10.0,3,2,0,expanded,False,True,6
"(((1, 4), (2, 2), (3, 3), (4, 2)), (1, 1))","(((2, 2), (2, 4), (3, 3), (4, 2)), (3, 4))",4,6.0,10.0,4,6,0,expanded,False,True,7
"(((2, 2), (2, 4), (3, 3), (4, 1)), (3, 4))","(((2, 2), (2, 4), (3, 3), (4, 2)), (3, 4))",4,6.0,10.0,4,2,0,expanded,False,True,8
"(((1, 4), (2, 1), (3, 3), (4, 3)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 3)), (1, 1))",4,6.0,10.0,4,2,0,expanded,False,True,9
"(((1, 4), (2, 2), (3, 3), (4, 1)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 2)), (1, 1))",5,5.0,10.0,5,5,0,expanded,False,True,10
"(((1, 4), (2, 1), (3, 3), (4, 2)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 2)), (1, 1))",5,5.0,10.0,5,4,0,expanded,False,True,11
"(((1, 4), (3, 1), (3, 3), (4, 3)), (1, 1))","(((1, 4), (2, 1), (3, 3), (4, 3)), (1, 1))",5,5.0,10.0,5,2,0,expanded,False,True,12
"(((1, 4), (2, 2), (3, 3), (5, 1)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 1)), (1, 1))",6,4.0,10.0,6,4,0,expanded,False,True,13
"(((1, 4), (2, 1), (3, 3), (4, 1)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 1)), (1, 1))",6,4.0,10.0,6,3,0,expanded,False,True,14
"(((1, 4), (3, 1), (3, 3), (4, 2)), (1, 1))","(((1, 4), (2, 1), (3, 3), (4, 2)), (1, 1))",6,4.0,10.0,6,4,0,expanded,False,True,15
"(((1, 4), (2, 1), (3, 3), (5, 1)), (1, 1))","(((1, 4), (2, 2), (3, 3), (5, 1)), (1, 1))",7,3.0,10.0,7,4,0,expanded,False,True,16
"(((1, 4), (3, 1), (3, 3), (4, 1)), (1, 1))","(((1, 4), (2, 1), (3, 3), (4, 1)), (1, 1))",7,3.0,10.0,7,2,0,expanded,False,True,17
"(((1, 4), (3, 1), (3, 3), (5, 1)), (1, 1))","(((1, 4), (2, 1), (3, 3), (5, 1)), (1, 1))",8,2.0,10.0,8,4,0,expanded,False,True,18
"(((1, 1), (1, 4), (3, 3), (5, 1)), (1, 2))","(((1, 4), (2, 1), (3, 3), (5, 1)), (1, 1))",8,2.0,10.0,8,2,0,expanded,False,True,19
"(((2, 2), (2, 3), (3, 4), (4, 2)), (3, 3))","(((2, 2), (3, 3), (3, 4), (4, 2)), (4, 3))",3,8.0,11.0,3,3,0,expanded,False,True,20
"(((2, 2), (2, 3), (2, 4), (4, 2)), (3, 3))","(((2, 2), (2, 4), (3, 3), (4, 2)), (3, 4))",4,7.0,11.0,4,3,0,expanded,False,True,21
"(((1, 4), (2, 3), (3, 3), (4, 3)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 3)), (1, 1))",4,7.0,11.0,4,2,0,expanded,False,True,22
"(((1, 4), (2, 2), (3, 3), (5, 4)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 4)), (1, 1))",5,7,12.0,5,,,pruned,,,23
"(((1, 4), (2, 2), (3, 3), (4, 4)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 3)), (1, 1))",4,7.0,11.0,4,6,1,expanded,False,True,24
"(((2, 2), (2, 3), (3, 4), (4, 1)), (3, 3))","(((2, 2), (3, 3), (3, 4), (4, 1)), (4, 2))",4,7.0,11.0,4,2,0,expanded,False,True,25
"(((1, 3), (2, 2), (3, 4), (4, 2)), (1, 4))","(((2, 2), (2, 3), (3, 4), (4, 2)), (3, 3))",4,7.0,11.0,4,5,0,expanded,False,True,26
"(((1, 4), (2, 2), (2, 3), (4, 2)), (2, 4))","(((1, 4), (2, 2), (3, 3), (4, 2)), (1, 1))",5,6.0,11.0,5,2,0,expanded,False,True,27
"(((1, 4), (2, 3), (3, 3), (4, 2)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 2)), (1, 1))",5,6.0,11.0,5,2,0,expanded,False,True,28
"(((2, 2), (2, 3), (2, 4), (4, 1)), (3, 3))","(((2, 2), (2, 4), (3, 3), (4, 1)), (3, 4))",5,6.0,11.0,5,2,0,expanded,False,True,29
"(((1, 3), (2, 2), (2, 4), (4, 2)), (2, 3))","(((2, 2), (2, 3), (2, 4), (4, 2)), (3, 3))",5,6.0,11.0,5,3,0,expanded,False,True,30
"(((1, 4), (2, 4), (3, 3), (4, 3)), (1, 1))","(((1, 4), (2, 3), (3, 3), (4, 3)), (1, 1))",5,6.0,11.0,5,1,0,expanded,False,True,31
"(((1, 4), (2, 2), (3, 3), (3, 4)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 4)), (1, 1))",5,6.0,11.0,5,6,0,expanded,False,True,32
"(((1, 4), (2, 1), (3, 3), (5, 4)), (1, 1))","(((1, 4), (2, 1), (3, 3), (4, 4)), (1, 1))",6,6,12.0,6,,,pruned,,,33
"(((1, 4), (2, 1), (3, 3), (4, 4)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 4)), (1, 1))",5,6.0,11.0,5,3,1,expanded,False,True,34
"(((1, 3), (2, 2), (3, 4), (4, 1)), (1, 4))","(((2, 2), (2, 3), (3, 4), (4, 1)), (3, 3))",5,6.0,11.0,5,4,0,expanded,False,True,35
"(((1, 3), (2, 1), (3, 4), (4, 2)), (1, 1))","(((1, 3), (2, 2), (3, 4), (4, 2)), (1, 4))",5,6.0,11.0,5,6,0,expanded,False,True,36
"(((1, 4), (2, 2), (2, 3), (4, 1)), (2, 4))","(((1, 4), (2, 2), (3, 3), (4, 1)), (1, 1))",6,5.0,11.0,6,1,0,expanded,False,True,37
"(((1, 4), (2, 3), (3, 3), (4, 1)), (1, 1))","(((1, 4), (2, 2), (3, 3), (4, 1)), (1, 1))",6,5.0,11.0,6,2,0,expanded,False,True,38
"(((1, 4), (2, 1), (2, 3), (4, 2)), (2, 4))","(((1, 4), (2, 1), (3, 3), (4, 2)), (1, 1))",6,5.0,11.0,6,3,0,expanded,False,True,39
"(((1, 3), (1, 4), (2, 2), (4, 2)), (2, 3))","(((1, 4), (2, 2), (2, 3), (4, 2)), (2, 4))",6,5.0,11.0,6,2,0,expanded,False,True,40
"(((1, 4), (2, 4), (3, 3), (4, 2)), (1, 1))","(((1, 4), (2, 3), (3, 3), (4, 2)), (1, 1))",6,5.0,11.0,6,2,0,expanded,False,True,41
"(((1, 3), (2, 2), (2, 4), (4, 1)), (2, 3))","(((2, 2), (2, 3), (2, 4), (4, 1)), (3, 3))",6,5.0,11.0,6,2,0,expanded,False,True,42
"(((1, 3), (2, 1), (2, 4), (4, 2)), (1, 1))","(((1, 3), (2, 2), (2, 4), (4, 2)), (2, 3))",6,5.0,11.0,6,4,0,expanded,False,True,43
"(((1, 4), (2, 2), (2, 4), (3, 3)), (1, 1))","(((1, 4), (2, 2), (3, 3), (3, 4)), (1, 1))",6,5.0,11.0,6,4,0,expanded,False,True,44
"(((1, 4), (2, 1), (3, 3), (3, 4)), (1, 1))","(((1, 4), (2, 2), (3, 3), (3, 4)), (1, 1))",6,5.0,11.0,6,3,0,expanded,False,True,45
"(((1, 4), (3, 1), (3, 3), (5, 4)), (1, 1))","(((1, 4), (3, 1), (3, 3), (4, 4)), (1, 1))",7,5,12.0,7,,,pruned,,,46
"(((1, 4), (3, 1), (3, 3), (4, 4)), (1, 1))","(((1, 4), (2, 1), (3, 3), (4, 4)), (1, 1))",6,5.0,11.0,6,3,1,expanded,False,True,47
"(((1, 3), (2, 1), (3, 4), (4, 1)), (1, 1))","(((1, 3), (2, 2), (3, 4), (4, 1)), (1, 4))",6,5.0,11.0,6,5,0,expanded,False,True,48
