node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((2, 2), (3, 6), (4, 3)), (2, 1))",,0,5.0,5.0,0,1,0,expanded,False,True,0
"(((1, 3), (3, 6), (4, 3)), (1, 2))","(((2, 3), (3, 6), (4, 3)), (1, 2))",2,7,9.0,2,,,pruned,,,1
"(((2, 3), (3, 6), (5, 3)), (1, 2))","(((2, 3), (3, 6), (4, 3)), (1, 2))",2,5,7.0,2,,,pruned,,,2
"(((2, 3), (3, 6), (4, 3)), (1, 2))","(((2, 2), (3, 6), (4, 3)), (2, 1))",1,6.0,7.0,1,5,2,expanded,False,True,3
"(((2, 3), (3, 3), (3, 6)), (1, 2))","(((2, 3), (3, 6), (4, 3)), (1, 2))",2,5.0,7.0,2,2,0,expanded,False,True,4
"(((1, 3), (3, 6), (4, 4)), (1, 2))","(((2, 3), (3, 6), (4, 4)), (1, 2))",3,6,9.0,3,,,pruned,,,5
"(((2, 3), (3, 6), (4, 4)), (1, 2))","(((2, 3), (3, 6), (4, 3)), (1, 2))",2,5.0,7.0,2,3,1,expanded,False,True,6
"(((1, 3), (3, 6), (4, 5)), (1, 2))","(((2, 3), (3, 6), (4, 5)), (1, 2))",4,5,9.0,4,,,pruned,,,7
"(((2, 3), (3, 6), (4, 5)), (1, 2))","(((2, 3), (3, 6), (4, 4)), (1, 2))",3,4.0,7.0,3,3,1,expanded,False,True,8
"(((1, 3), (3, 6), (4, 6)), (1, 2))","(((2, 3), (3, 6), (4, 6)), (1, 2))",5,4,9.0,5,,,pruned,,,9
"(((2, 3), (3, 6), (4, 7)), (1, 2))","(((2, 3), (3, 6), (4, 6)), (1, 2))",5,4,9.0,5,,,pruned,,,10
"(((2, 3), (3, 6), (4, 6)), (1, 2))","(((2, 3), (3, 6), (4, 5)), (1, 2))",4,3.0,7.0,4,4,2,expanded,False,True,11
"(((3, 3), (3, 6), (4, 3)), (1, 2))","(((2, 3), (3, 6), (4, 3)), (1, 2))",2,7.0,9.0,2,1,0,expanded,False,True,12
"(((2, 3), (3, 3), (4, 7)), (1, 2))","(((2, 3), (3, 3), (4, 6)), (1, 2))",4,7,11.0,4,,,pruned,,,13
"(((2, 3), (3, 3), (4, 6)), (1, 2))","(((2, 3), (3, 3), (3, 6)), (1, 2))",3,6.0,9.0,3,4,1,expanded,False,True,14
"(((1, 6), (2, 3), (3, 3)), (1, 2))","(((2, 3), (2, 6), (3, 3)), (1, 2))",4,7,11.0,4,,,pruned,,,15
"(((2, 3), (2, 7), (3, 3)), (1, 2))","(((2, 3), (2, 6), (3, 3)), (1, 2))",4,7,11.0,4,,,pruned,,,16
"(((2, 3), (2, 6), (3, 3)), (1, 2))","(((2, 3), (3, 3), (3, 6)), (1, 2))",3,6.0,9.0,3,4,2,expanded,False,True,17
"(((3, 3), (3, 6), (4, 4)), (1, 2))","(((2, 3), (3, 6), (4, 4)), (1, 2))",3,6.0,9.0,3,3,0,expanded,False,True,18
"(((3, 3), (3, 6), (4, 5)), (1, 2))","(((2, 3), (3, 6), (4, 5)), (1, 2))",4,5.0,9.0,4,3,0,expanded,False,True,19
"(((2, 3), (3, 3), (5, 7)), (1, 2))","(((2, 3), (3, 3), (5, 6)), (1, 2))",5,6,11.0,5,,,pruned,,,20
"(((2, 3), (3, 3), (5, 5)), (1, 2))","(((2, 3), (3, 3), (5, 6)), (1, 2))",5,6,11.0,5,,,pruned,,,21
"(((2, 3), (3, 3), (5, 6)), (1, 2))","(((2, 3), (3, 3), (4, 6)), (1, 2))",4,5.0,9.0,4,2,2,expanded,True,True,22
"(((3, 3), (3, 6), (4, 7)), (1, 2))","(((3, 3), (3, 6), (4, 6)), (1, 2))",6,5,11.0,6,,,pruned,,,23
"(((3, 3), (3, 6), (4, 6)), (1, 2))","(((2, 3), (3, 6), (4, 6)), (1, 2))",5,4.0,9.0,5,4,1,expanded,False,True,24
"(((2, 3), (3, 6), (4, 5)), (4, 6))","(((2, 3), (3, 6), (4, 6)), (1, 2))",5,4.0,9.0,5,3,0,expanded,False,True,25
"(((1, 3), (3, 5), (3, 6)), (1, 2))","(((2, 3), (3, 5), (3, 6)), (1, 2))",7,4,11.0,7,,,pruned,,,26
"(((2, 3), (3, 5), (3, 6)), (1, 2))","(((2, 3), (3, 6), (4, 5)), (4, 6))",6,3.0,9.0,6,4,1,expanded,False,True,27
"(((2, 3), (3, 3), (5, 5)), (1, 2))","(((2, 3), (3, 3), (4, 5)), (1, 5))",5,6,11.0,5,,,pruned,,,28
"(((2, 3), (3, 3), (4, 5)), (1, 5))","(((2, 3), (3, 3), (4, 6)), (1, 2))",4,7.0,11.0,4,3,1,expanded,False,True,29
"(((1, 5), (2, 3), (3, 3)), (1, 2))","(((2, 3), (2, 5), (3, 3)), (1, 2))",5,8,13.0,5,,,pruned,,,30
"(((2, 3), (2, 5), (3, 3)), (1, 2))","(((2, 3), (2, 6), (3, 3)), (1, 2))",4,7.0,11.0,4,2,1,expanded,False,True,31
"(((3, 6), (4, 4), (5, 3)), (1, 2))","(((3, 6), (4, 3), (4, 4)), (1, 2))",5,6,11.0,5,,,pruned,,,32
"(((3, 6), (4, 3), (4, 4)), (1, 2))","(((3, 3), (3, 6), (4, 4)), (1, 2))",4,7.0,11.0,4,2,1,expanded,False,True,33
"(((3, 6), (4, 5), (5, 3)), (1, 2))","(((3, 6), (4, 3), (4, 5)), (1, 2))",6,5,11.0,6,,,pruned,,,34
"(((3, 6), (4, 3), (4, 5)), (1, 2))","(((3, 3), (3, 6), (4, 5)), (1, 2))",5,6.0,11.0,5,3,1,expanded,False,True,35
"(((2, 3), (3, 3), (3, 5)), (1, 2))","(((2, 3), (3, 3), (4, 5)), (1, 5))",5,6.0,11.0,5,2,0,expanded,False,True,36
"(((3, 3), (3, 6), (4, 5)), (4, 6))","(((3, 3), (3, 6), (4, 6)), (1, 2))",6,5.0,11.0,6,3,0,expanded,False,True,37
"(((3, 6), (4, 6), (5, 3)), (1, 2))","(((3, 6), (4, 3), (4, 6)), (1, 2))",7,4,11.0,7,,,pruned,,,38
"(((3, 6), (4, 3), (4, 6)), (1, 2))","(((3, 3), (3, 6), (4, 6)), (1, 2))",6,5.0,11.0,6,3,1,expanded,False,True,39
"(((2, 3), (3, 6), (4, 4)), (1, 5))","(((2, 3), (3, 6), (4, 5)), (4, 6))",6,5.0,11.0,6,3,0,expanded,False,True,40
"(((2, 3), (2, 6), (5, 5)), (1, 2))","(((2, 3), (2, 6), (4, 5)), (1, 5))",7,4,11.0,7,,,pruned,,,41
"(((1, 6), (2, 3), (4, 5)), (1, 5))","(((2, 3), (2, 6), (4, 5)), (1, 5))",7,6,13.0,7,,,pruned,,,42
"(((2, 3), (2, 7), (4, 5)), (1, 5))","(((2, 3), (2, 6), (4, 5)), (1, 5))",7,6,13.0,7,,,pruned,,,43
"(((2, 3), (2, 6), (4, 5)), (1, 5))","(((2, 3), (3, 6), (4, 5)), (4, 6))",6,5.0,11.0,6,7,3,expanded,False,True,44
"(((3, 6), (4, 4), (4, 5)), (1, 2))","(((3, 6), (4, 3), (4, 5)), (1, 2))",6,5.0,11.0,6,0,0,expanded,False,True,45
"(((3, 3), (3, 5), (3, 6)), (1, 2))","(((2, 3), (3, 5), (3, 6)), (1, 2))",7,4.0,11.0,7,4,0,expanded,False,True,46
"(((1, 3), (2, 5), (3, 6)), (1, 2))","(((2, 3), (2, 5), (3, 6)), (1, 2))",8,5,13.0,8,,,pruned,,,47
"(((1, 5), (2, 3), (3, 6)), (1, 2))","(((2, 3), (2, 5), (3, 6)), (1, 2))",8,5,13.0,8,,,pruned,,,48
"(((2, 3), (2, 5), (3, 6)), (1, 2))","(((2, 3), (3, 5), (3, 6)), (1, 2))",7,4.0,11.0,7,4,2,expanded,False,True,49
"(((1, 3), (2, 6), (3, 5)), (1, 2))","(((2, 3), (2, 6), (3, 5)), (1, 2))",8,5,13.0,8,,,pruned,,,50
"(((1, 6), (2, 3), (3, 5)), (1, 2))","(((2, 3), (2, 6), (3, 5)), (1, 2))",8,5,13.0,8,,,pruned,,,51
"(((2, 3), (2, 6), (3, 5)), (1, 2))","(((2, 3), (3, 5), (3, 6)), (1, 2))",7,4.0,11.0,7,4,2,expanded,False,True,52
"(((3, 6), (4, 4), (4, 6)), (1, 2))","(((3, 6), (4, 3), (4, 6)), (1, 2))",7,4.0,11.0,7,1,0,expanded,False,True,53
"(((2, 3), (3, 6), (5, 5)), (1, 2))","(((2, 3), (3, 6), (4, 5)), (1, 5))",8,3,11.0,8,,,pruned,,,54
"(((2, 3), (3, 6), (4, 5)), (1, 5))","(((2, 3), (2, 6), (4, 5)), (1, 5))",7,4.0,11.0,7,2,1,expanded,False,True,55
"(((3, 6), (4, 5), (4, 6)), (1, 2))","(((3, 6), (4, 4), (4, 6)), (1, 2))",8,3.0,11.0,8,0,0,expanded,False,True,56
"(((2, 3), (3, 3), (4, 4)), (1, 5))","(((2, 3), (3, 3), (4, 5)), (1, 5))",5,8.0,13.0,5,1,0,expanded,False,True,57
"(((3, 3), (3, 6), (4, 4)), (1, 5))","(((3, 3), (3, 6), (4, 5)), (4, 6))",7,6.0,13.0,7,3,0,expanded,False,True,58
"(((2, 6), (3, 3), (5, 5)), (1, 2))","(((2, 6), (3, 3), (4, 5)), (1, 5))",8,5,13.0,8,,,pruned,,,59
"(((1, 6), (3, 3), (4, 5)), (1, 5))","(((2, 6), (3, 3), (4, 5)), (1, 5))",8,7,15.0,8,,,pruned,,,60
"(((2, 7), (3, 3), (4, 5)), (1, 5))","(((2, 6), (3, 3), (4, 5)), (1, 5))",8,7,15.0,8,,,pruned,,,61
"(((2, 6), (3, 3), (4, 5)), (1, 5))","(((3, 3), (3, 6), (4, 5)), (4, 6))",7,6.0,13.0,7,7,3,expanded,False,True,62
"(((2, 3), (3, 6), (4, 3)), (1, 5))","(((2, 3), (3, 6), (4, 4)), (1, 5))",7,6.0,13.0,7,3,0,expanded,False,True,63
"(((2, 3), (4, 4), (4, 7)), (1, 5))","(((2, 3), (4, 4), (4, 6)), (1, 5))",8,7,15.0,8,,,pruned,,,64
"(((2, 3), (4, 4), (4, 6)), (1, 5))","(((2, 3), (3, 6), (4, 4)), (1, 5))",7,6.0,13.0,7,5,1,expanded,False,True,65
"(((1, 6), (2, 3), (4, 4)), (1, 5))","(((2, 3), (2, 6), (4, 4)), (1, 5))",8,7,15.0,8,,,pruned,,,66
"(((2, 3), (2, 7), (4, 4)), (1, 5))","(((2, 3), (2, 6), (4, 4)), (1, 5))",8,7,15.0,8,,,pruned,,,67
"(((2, 3), (2, 6), (4, 4)), (1, 5))","(((2, 3), (3, 6), (4, 4)), (1, 5))",7,6.0,13.0,7,5,2,expanded,False,True,68
"(((2, 3), (2, 5), (5, 5)), (1, 2))","(((2, 3), (2, 5), (4, 5)), (1, 5))",8,5,13.0,8,,,pruned,,,69
"(((1, 5), (2, 3), (4, 5)), (1, 6))","(((2, 3), (2, 5), (4, 5)), (1, 5))",8,7,15.0,8,,,pruned,,,70
"(((2, 3), (2, 5), (4, 5)), (1, 5))","(((2, 3), (2, 6), (4, 5)), (1, 5))",7,6.0,13.0,7,5,2,expanded,False,True,71
"(((3, 5), (3, 6), (5, 3)), (1, 2))","(((3, 5), (3, 6), (4, 3)), (1, 2))",9,4,13.0,9,,,pruned,,,72
"(((3, 5), (3, 6), (4, 3)), (1, 2))","(((3, 3), (3, 5), (3, 6)), (1, 2))",8,5.0,13.0,8,3,1,expanded,False,True,73
"(((1, 5), (3, 3), (3, 6)), (1, 2))","(((2, 5), (3, 3), (3, 6)), (1, 2))",9,6,15.0,9,,,pruned,,,74
"(((2, 5), (3, 3), (3, 6)), (1, 2))","(((3, 3), (3, 5), (3, 6)), (1, 2))",8,5.0,13.0,8,4,1,expanded,False,True,75
"(((1, 6), (3, 3), (3, 5)), (1, 2))","(((2, 6), (3, 3), (3, 5)), (1, 2))",9,6,15.0,9,,,pruned,,,76
"(((2, 6), (3, 3), (3, 5)), (1, 2))","(((3, 3), (3, 5), (3, 6)), (1, 2))",8,5.0,13.0,8,4,1,expanded,False,True,77
"(((1, 3), (2, 5), (2, 6)), (1, 2))","(((2, 3), (2, 5), (2, 6)), (1, 2))",9,6,15.0,9,,,pruned,,,78
"(((1, 5), (2, 3), (2, 6)), (1, 2))","(((2, 3), (2, 5), (2, 6)), (1, 2))",9,6,15.0,9,,,pruned,,,79
"(((1, 6), (2, 3), (2, 5)), (1, 2))","(((2, 3), (2, 5), (2, 6)), (1, 2))",9,6,15.0,9,,,pruned,,,80
"(((2, 3), (2, 5), (2, 6)), (1, 2))","(((2, 3), (2, 5), (3, 6)), (1, 2))",8,5.0,13.0,8,4,3,expanded,False,True,81
"(((2, 3), (4, 6), (5, 5)), (1, 2))","(((2, 3), (4, 5), (4, 6)), (1, 5))",9,4,13.0,9,,,pruned,,,82
"(((2, 3), (4, 5), (4, 6)), (1, 5))","(((2, 3), (3, 6), (4, 5)), (1, 5))",8,5.0,13.0,8,2,1,expanded,False,True,83
"(((3, 3), (3, 6), (5, 5)), (1, 2))","(((3, 3), (3, 6), (4, 5)), (1, 5))",9,4,13.0,9,,,pruned,,,84
"(((3, 3), (3, 6), (4, 5)), (1, 5))","(((2, 6), (3, 3), (4, 5)), (1, 5))",8,5.0,13.0,8,2,1,expanded,False,True,85
"(((1, 3), (3, 6), (4, 2)), (1, 2))","(((2, 3), (3, 6), (4, 2)), (1, 2))",9,6,15.0,9,,,pruned,,,86
"(((2, 3), (3, 6), (5, 2)), (1, 2))","(((2, 3), (3, 6), (4, 2)), (1, 2))",9,6,15.0,9,,,pruned,,,87
"(((2, 3), (3, 6), (4, 1)), (1, 2))","(((2, 3), (3, 6), (4, 2)), (1, 2))",9,4,13.0,9,,,pruned,,,88
"(((2, 3), (3, 6), (4, 2)), (1, 2))","(((2, 3), (3, 6), (4, 3)), (1, 5))",8,5.0,13.0,8,8,3,expanded,False,True,89
