node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,f_plateau,timestamp_order
"(((2, 3), (3, 1)), (1, 1))","(((2, 3), (3, 2)), (2, 4))",1,5,6.0,1,,,pruned,,,0
"(((2, 3), (3, 2)), (2, 4))",,0,4.0,4.0,0,3,1,expanded,False,True,1
"(((2, 2), (3, 1)), (2, 3))","(((2, 2), (3, 2)), (2, 3))",2,6,8.0,2,,,pruned,,,2
"(((2, 1), (3, 2)), (1, 1))","(((2, 2), (3, 2)), (2, 3))",2,6,8.0,2,,,pruned,,,3
"(((2, 2), (3, 2)), (2, 3))","(((2, 3), (3, 2)), (2, 4))",1,5.0,6.0,1,2,2,expanded,True,True,4
"(((1, 2), (2, 3)), (1, 1))","(((2, 2), (2, 3)), (1, 1))",2,6,8.0,2,,,pruned,,,5
"(((2, 2), (2, 3)), (1, 1))","(((2, 3), (3, 2)), (2, 4))",1,5.0,6.0,1,2,1,expanded,False,True,6
"(((2, 4), (3, 2)), (1, 1))","(((2, 3), (3, 2)), (1, 1))",3,4,7.0,3,,,pruned,,,7
"(((2, 3), (4, 2)), (1, 1))","(((2, 3), (3, 2)), (1, 1))",3,3,6.0,3,,,pruned,,,8
"(((2, 3), (3, 2)), (1, 1))","(((2, 2), (2, 3)), (1, 1))",2,4.0,6.0,2,3,2,expanded,False,True,9
"(((2, 4), (3, 3)), (1, 1))","(((2, 3), (3, 3)), (1, 1))",4,3,7.0,4,,,pruned,,,10
"(((2, 3), (3, 3)), (1, 1))","(((2, 3), (3, 2)), (1, 1))",3,3.0,6.0,3,4,1,expanded,False,True,11
"(((2, 4), (3, 4)), (1, 1))","(((2, 3), (3, 4)), (1, 1))",5,3,8.0,5,,,pruned,,,12
"(((2, 3), (2, 4)), (1, 1))","(((2, 3), (3, 4)), (1, 1))",5,4,9.0,5,,,pruned,,,13
"(((2, 3), (3, 4)), (1, 1))","(((2, 3), (3, 3)), (1, 1))",4,3.0,7.0,4,2,2,expanded,True,True,14
"(((1, 2), (3, 3)), (1, 1))","(((2, 2), (3, 3)), (1, 1))",5,5,10.0,5,,,pruned,,,15
"(((2, 1), (3, 3)), (1, 1))","(((2, 2), (3, 3)), (1, 1))",5,5,10.0,5,,,pruned,,,16
"(((2, 2), (3, 3)), (1, 1))","(((2, 3), (3, 3)), (1, 1))",4,4.0,8.0,4,8,2,expanded,False,True,17
"(((2, 2), (4, 2)), (1, 1))","(((2, 2), (4, 3)), (1, 1))",6,4,10.0,6,,,pruned,,,18
"(((1, 2), (4, 3)), (1, 1))","(((2, 2), (4, 3)), (1, 1))",6,4,10.0,6,,,pruned,,,19
"(((2, 1), (4, 3)), (1, 1))","(((2, 2), (4, 3)), (1, 1))",6,4,10.0,6,,,pruned,,,20
"(((2, 2), (4, 3)), (1, 1))","(((2, 2), (3, 3)), (1, 1))",5,3.0,8.0,5,6,3,expanded,False,True,21
"(((3, 3), (4, 2)), (1, 1))","(((3, 2), (3, 3)), (1, 1))",6,2,8.0,6,,,pruned,,,22
"(((3, 2), (3, 3)), (1, 1))","(((2, 2), (3, 3)), (1, 1))",5,3.0,8.0,5,4,1,expanded,False,True,23
"(((4, 2), (4, 3)), (1, 1))","(((3, 2), (4, 3)), (1, 1))",7,1,8.0,7,,,pruned,,,24
"(((3, 1), (4, 3)), (1, 1))","(((3, 2), (4, 3)), (1, 1))",7,3,10.0,7,,,pruned,,,25
"(((3, 2), (4, 2)), (1, 1))","(((3, 2), (4, 3)), (1, 1))",7,3,10.0,7,,,pruned,,,26
"(((3, 2), (4, 3)), (1, 1))","(((2, 2), (4, 3)), (1, 1))",6,2.0,8.0,6,4,3,expanded,False,True,27
"(((2, 4), (4, 3)), (1, 1))","(((2, 3), (4, 3)), (1, 1))",7,2,9.0,7,,,pruned,,,28
"(((2, 3), (4, 2)), (1, 1))","(((2, 3), (4, 3)), (1, 1))",7,3,10.0,7,,,pruned,,,29
"(((2, 3), (4, 3)), (1, 1))","(((2, 2), (4, 3)), (1, 1))",6,2.0,8.0,6,4,2,expanded,False,True,30
"(((3, 3), (4, 2)), (1, 1))","(((3, 3), (4, 3)), (1, 1))",8,2,10.0,8,,,pruned,,,31
"(((3, 3), (4, 3)), (1, 1))","(((3, 2), (4, 3)), (1, 1))",7,1.0,8.0,7,4,1,expanded,False,True,32
"(((2, 2), (2, 4)), (1, 1))","(((2, 2), (3, 4)), (1, 1))",6,5,11.0,6,,,pruned,,,33
"(((1, 2), (3, 4)), (1, 1))","(((2, 2), (3, 4)), (1, 1))",6,5,11.0,6,,,pruned,,,34
"(((2, 1), (3, 4)), (1, 1))","(((2, 2), (3, 4)), (1, 1))",6,5,11.0,6,,,pruned,,,35
"(((2, 2), (3, 4)), (1, 1))","(((2, 2), (3, 3)), (1, 1))",5,4.0,9.0,5,6,3,expanded,False,True,36
"(((1, 2), (4, 4)), (1, 1))","(((2, 2), (4, 4)), (1, 1))",7,4,11.0,7,,,pruned,,,37
"(((2, 1), (4, 4)), (1, 1))","(((2, 2), (4, 4)), (1, 1))",7,4,11.0,7,,,pruned,,,38
"(((2, 2), (4, 4)), (1, 1))","(((2, 2), (4, 3)), (1, 1))",6,3.0,9.0,6,4,2,expanded,False,True,39
"(((3, 4), (4, 2)), (1, 1))","(((3, 2), (3, 4)), (1, 1))",7,2,9.0,7,,,pruned,,,40
"(((3, 1), (3, 4)), (1, 1))","(((3, 2), (3, 4)), (1, 1))",7,4,11.0,7,,,pruned,,,41
"(((2, 4), (3, 2)), (1, 1))","(((3, 2), (3, 4)), (1, 1))",7,4,11.0,7,,,pruned,,,42
"(((3, 2), (3, 4)), (1, 1))","(((2, 2), (3, 4)), (1, 1))",6,3.0,9.0,6,6,3,expanded,False,True,43
"(((2, 4), (4, 4)), (1, 1))","(((2, 3), (4, 4)), (1, 1))",8,2,10.0,8,,,pruned,,,44
"(((2, 3), (4, 4)), (1, 1))","(((2, 3), (4, 3)), (1, 1))",7,2.0,9.0,7,2,1,expanded,False,True,45
"(((4, 2), (4, 4)), (1, 1))","(((3, 2), (4, 4)), (1, 1))",8,1,9.0,8,,,pruned,,,46
"(((3, 1), (4, 4)), (1, 1))","(((3, 2), (4, 4)), (1, 1))",8,3,11.0,8,,,pruned,,,47
"(((3, 2), (4, 4)), (1, 1))","(((2, 2), (4, 4)), (1, 1))",7,2.0,9.0,7,4,2,expanded,False,True,48
"(((2, 4), (3, 3)), (1, 1))","(((3, 3), (3, 4)), (1, 1))",8,3,11.0,8,,,pruned,,,49
"(((3, 3), (3, 4)), (1, 1))","(((3, 2), (3, 4)), (1, 1))",7,2.0,9.0,7,4,1,expanded,False,True,50
"(((3, 4), (4, 3)), (1, 1))","(((3, 3), (4, 3)), (1, 1))",8,1.0,9.0,8,2,0,expanded,False,True,51
"(((3, 3), (4, 4)), (1, 1))","(((3, 3), (4, 3)), (1, 1))",8,1.0,9.0,8,4,0,expanded,False,True,52
"(((4, 3), (4, 4)), (1, 1))","(((3, 4), (4, 3)), (1, 1))",9,0.0,9.0,9,0,0,goal,False,False,53
