node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,is_new_best,prune_reason,timestamp_order
"((0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0))","((0, 0), (1, 0), (2, 0), (3, 0), (4, 0))",0,2,2,5,,,goal,,True,,0
"((0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1))","((0, 0), (1, 0), (2, 0), (3, 0), (4, 0))",0,2,2,5,,,goal,,False,,1
"((0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, -1))","((0, 0), (1, 0), (2, 0), (3, 0), (4, 0))",0,2,2,5,,,goal,,False,,2
"((0, 0), (1, 0), (2, 0), (3, 0), (4, 0))","((0, 0), (1, 0), (2, 0), (3, 0))",0,2,2,4,3,0,expanded,False,,,3
"((0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (4, 1))","((0, 0), (1, 0), (2, 0), (3, 0), (3, 1))",0,2,2,5,,,goal,,False,,4
"((0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (2, 1))","((0, 0), (1, 0), (2, 0), (3, 0), (3, 1))",0,2,2,5,,,goal,,False,,5
"((0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2))","((0, 0), (1, 0), (2, 0), (3, 0), (3, 1))",0,2,2,5,,,goal,,False,,6
"((0, 0), (1, 0), (2, 0), (3, 0), (3, 1))","((0, 0), (1, 0), (2, 0), (3, 0))",0,2,2,4,3,0,expanded,False,,,7
"((0, 0), (1, 0), (2, 0), (3, 0), (3, -1), (4, -1))","((0, 0), (1, 0), (2, 0), (3, 0), (3, -1))",0,2,2,5,,,goal,,False,,8
"((0, 0), (1, 0), (2, 0), (3, 0), (3, -1), (2, -1))","((0, 0), (1, 0), (2, 0), (3, 0), (3, -1))",0,2,2,5,,,goal,,False,,9
"((0, 0), (1, 0), (2, 0), (3, 0), (3, -1), (3, -2))","((0, 0), (1, 0), (2, 0), (3, 0), (3, -1))",0,2,2,5,,,goal,,False,,10
"((0, 0), (1, 0), (2, 0), (3, 0), (3, -1))","((0, 0), (1, 0), (2, 0), (3, 0))",0,2,2,4,3,0,expanded,False,,,11
"((0, 0), (1, 0), (2, 0), (3, 0))","((0, 0), (1, 0), (2, 0))",0,2,2,3,3,0,expanded,False,,,12
"((0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (0, 1))","((0, 0), (1, 0), (2, 0), (2, 1), (1, 1))",1,1,2,5,,,goal,,True,,13
"((0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (1, 2))","((0, 0), (1, 0), (2, 0), (2, 1), (1, 1))",1,1,2,5,,,goal,,False,,14
"((0, 0), (1, 0), (2, 0), (2, 1), (1, 1))","((0, 0), (1, 0), (2, 0), (2, 1))",1,1,2,4,2,0,expanded,False,,,15
"((0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1))","((0, 0), (1, 0), (2, 0), (2, 1), (3, 1))",0,2,2,5,,,goal,,False,,16
"((0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 2))","((0, 0), (1, 0), (2, 0), (2, 1), (3, 1))",0,2,2,5,,,goal,,False,,17
